nodeName	altName	nodeAttr[nodesPresent, ]
A1BG	NA	red
A1CF	NA	red
AASDH	NA	red
AASS	NA	red
AATK	NA	red
ABCA1	NA	red
ABCA3	NA	red
ABCB8	NA	red
ABCF2	NA	red
ABHD11	NA	red
ABHD13	NA	red
ABHD17B	NA	red
ABR	NA	red
ACAP2	NA	red
ACBD5	NA	red
ACD	NA	red
ACER2	NA	red
ACOT7	NA	red
ACP3	NA	red
ACP7	NA	red
ACTB	NA	red
ACTMAP	NA	red
ACTR8	NA	red
ACVR1	NA	red
ACVR2A	NA	red
ACVR2B	NA	red
ADAM17	NA	red
ADAMTS13	NA	red
ADAP1	NA	red
ADAP2	NA	red
ADCY7	NA	red
ADGRA3	NA	red
ADGRF5	NA	red
ADGRL4	NA	red
ADH7	NA	red
ADIPOR1	NA	red
ADPRH	NA	red
ADPRS	NA	red
ADRA1D	NA	red
AEBP2	NA	red
AFF1	NA	red
AFF4	NA	red
AFTPH	NA	red
AGFG1	NA	red
AGGF1	NA	red
AGO2	NA	red
AGO3	NA	red
AGPAT3	NA	red
AHCYL2	NA	red
AHR	NA	red
AICDA	NA	red
AIDA	NA	red
AIF1	NA	red
AKAP11	NA	red
AKAP13	NA	red
AKAP8	NA	red
AKAP9	NA	red
ALAD	NA	red
ALB	NA	red
ALG3	NA	red
ALG8	NA	red
ALKBH3	NA	red
ALKBH4	NA	red
ALKBH5	NA	red
ALKBH8	NA	red
ALMS1	NA	red
AMIGO1	NA	red
AMMECR1L	NA	red
AMOTL2	NA	red
AMT	NA	red
ANAPC13	NA	red
ANAPC15	NA	red
ANGEL1	NA	red
ANGPTL3	NA	red
ANHX	NA	red
ANKHD1	NA	red
ANKIB1	NA	red
ANKLE2	NA	red
ANKMY2	NA	red
ANKRA2	NA	red
ANKRD12	NA	red
ANKRD13B	NA	red
ANKRD13C	NA	red
ANKRD13D	NA	red
ANKRD17	NA	red
ANKRD44	NA	red
ANKRD46	NA	red
AP1S1	NA	red
AP3S1	NA	red
APBB3	NA	red
APC	NA	red
APH1A	NA	red
APPBP2	NA	red
APRT	NA	red
AR	NA	red
ARAP2	NA	red
ARFGAP2	NA	red
ARFGEF2	NA	red
ARFRP1	NA	red
ARGLU1	NA	red
ARHGAP1	NA	red
ARHGAP15	NA	red
ARHGAP21	NA	red
ARHGAP33	NA	red
ARHGAP5	NA	red
ARHGAP6	NA	red
ARHGEF16	NA	red
ARHGEF18	NA	red
ARHGEF2	NA	red
