pathway	pval	padj	log2err	ES	NES	size	leadingEdge
1	KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	0.000162123244558957	0.0100516411626553	0.518848077743792	0.78839709048995	2.00713465741302	14	c("PCK1", "ATP1B2", "CA2", "GLS2", "ATP1B1", "SLC25A10", "PCK2", "ATP1A1", "FXYD2", "SLC38A3")
2	KEGG_CIRCADIAN_RHYTHM_MAMMAL	0.000544322213314494	0.025310982919124	0.477270815362862	0.843443610866999	1.92401998034792	9	c("PER1", "PER2", "CRY2", "BHLHE40", "NR1D1")
3	KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	0.00495026036103354	0.124804730402478	0.407017918923954	0.58572090974589	1.73795467791139	28	c("SDS", "PSPH", "ALAS2", "PHGDH", "ALAS1", "MAOB", "SHMT1", "CBS", "GAMT")
4	KEGG_MAPK_SIGNALING_PATHWAY	0.000133411733007815	0.0100516411626553	0.518848077743792	0.408798310978901	1.70511569976823	166	c("NR4A1", "DUSP1", "DUSP10", "MYC", "DUSP4", "DUSP8", "DUSP3", "JUN", "MAP2K6", "GADD45A", "IL1R2", "GADD45G", "CD14", "PDGFRA", "FGFR1", "EGFR", "FGF21", "MAPK8IP1", "JUND", "TRAF6", "DUSP5", "GADD45B", "PPP3CC", "NTRK1", "PLA2G6", "MAP3K6", "RRAS", "MAP3K8", "PDGFB", "HSPA2", "MAPK8IP3", "PPP3CA", "PDGFRB", "CACNG5")
5	KEGG_BASAL_CELL_CARCINOMA	0.00536794539365497	0.124804730402478	0.407017918923954	0.578845118938808	1.68554035240292	26	c("WNT10B", "WNT1", "PTCH1", "FZD5", "FZD4", "BMP2", "FZD8", "WNT2", "PTCH2", "WNT9B", "FZD7")
6	KEGG_CARDIAC_MUSCLE_CONTRACTION	0.00659282900311228	0.136251799397654	0.407017918923954	0.573823799826801	1.67091876243236	26	c("ATP1B2", "ATP1B1", "TPM2", "CACNG5", "COX6B1", "ATP1A1", "FXYD2", "COX4I1", "CYC1", "COX5A", "UQCR11", "CACNA2D2", "UQCRFS1", "UQCRC1")
7	KEGG_OTHER_GLYCAN_DEGRADATION	0.0199777567335862	0.167426783894135	0.352487857583619	0.698130902674339	1.66587966197595	11	c("HEXA", "FUCA2", "MAN2C1", "GLB1", "NEU1", "AGA", "HEXB", "NEU3")
8	KEGG_PYRUVATE_METABOLISM	0.017330859499948	0.167426783894135	0.352487857583619	0.538309181215258	1.59727430605404	28	c("PCK1", "ME1", "PKLR", "AKR1B1", "PC", "ALDH1B1", "PCK2", "MDH2")
9	KEGG_ARGININE_AND_PROLINE_METABOLISM	0.0149888796631042	0.154885089852076	0.380730400722792	0.489358942845069	1.58595883630194	41	c("ASS1", "OAT", "PYCR2", "GLS2", "P4HA2", "GOT1", "ALDH1B1", "ARG1", "CPS1", "MAOB", "ACY1", "ASL", "GOT2", "GAMT", "PRODH")
10	KEGG_OXIDATIVE_PHOSPHORYLATION	0.00840188106068506	0.153281514059173	0.380730400722792	0.44527137085916	1.5848861443168	65	c("ATP5F1A", "COX10", "ATP6V0A1", "LHPP", "NDUFV3", "COX6B1", "COX4I1", "ATP6V1B2", "CYC1", "COX5A", "UQCR11", "NDUFB7", "NDUFB9", "NDUFS7", "SDHB", "NDUFV2", "UQCRFS1", "ATP6AP1", "NDUFS8", "UQCRC1", "NDUFS1", "PPA1", "NDUFA8", "NDUFS3", "NDUFA9", "SDHC", "ATP6V1D", "NDUFB6", "NDUFB8", "ATP6V1H", "COX7A2", "ATP6V0E1", "SDHA", "ATP6V0D1")
