pathway	pval	padj	log2err	ES	NES	size	leadingEdge
1	KEGG_OXIDATIVE_PHOSPHORYLATION	1.14576452278419e-09	2.1311220123786e-07	0.788186810800237	0.633423072046846	2.33719641319808	83	c("NDUFB4", "ATP6V0A1", "SDHB", "PPA1", "SDHD", "ATP5MG", "NDUFS4", "ATP5PF", "NDUFB1", "ATP5MC3", "NDUFV2", "ATP5MC1", "NDUFB5", "NDUFC2", "NDUFS7", "NDUFA6", "NDUFB3", "ATP5PO", "ATP5PD", "NDUFB6", "ATP5F1B", "LHPP", "NDUFA8", "NDUFA4", "NDUFS1", "NDUFB9", "ATP6V1E1", "ATP5F1C", "ATP4A", "ATP6V0A4", "NDUFA5", "NDUFA2", "SDHC", "NDUFA4L2", "ATP5MF", "SDHA", "ATP6V0A2", "ATP5F1A", "ATP6V1C1", "ATP6V1A", "ATP6V1D", "NDUFA9", "ATP5ME", "NDUFS5", "NDUFB8", "NDUFB10")
2	KEGG_PROTEASOME	9.22908331293819e-07	8.13262720878387e-05	0.659444398037935	0.669550966154498	2.20048317987335	43	c("PSMD1", "PSMD8", "SEM1", "PSMA4", "PSME4", "PSMA3", "PSMC3", "PSMB1", "PSMA7", "PSMB7", "POMP", "PSMD12", "PSMD2", "PSMC2", "PSMD14", "PSMC1", "PSMA1", "PSMA5", "PSMB5", "PSMA2", "PSMC6", "PSMF1", "PSMD3", "PSMC5", "PSMD7", "PSMB4", "PSMB3", "PSMB6", "PSMC4", "PSMB2", "PSME3", "PSMD13", "PSMD11")
3	KEGG_GLYCOLYSIS_GLUCONEOGENESIS	4.76556709510911e-06	0.000177279095938059	0.610526878385931	0.628218792416466	2.09020653141214	48	c("PGM2", "ALDH3A2", "PGK1", "ALDH1B1", "GPI", "ALDH1A3", "ENO3", "BPGM", "HK2", "AKR1A1", "PFKP", "DLD", "TPI1", "G6PC1", "PDHB", "PFKM", "ALDH9A1", "DLAT", "PCK1", "FBP1", "ALDOB", "ADH7")
4	KEGG_PARKINSONS_DISEASE	1.65204506415754e-06	8.13262720878387e-05	0.643551836150722	0.554278988053004	2.04988581915365	84	c("NDUFB4", "VDAC1", "SLC25A4", "SDHB", "SDHD", "PPID", "VDAC2", "NDUFS4", "ATP5PF", "PINK1", "NDUFB1", "ATP5MC3", "NDUFV2", "SLC25A5", "ATP5MC1", "CASP3", "NDUFB5", "NDUFC2", "NDUFS7", "NDUFA6", "NDUFB3", "ATP5PO", "VDAC3", "ATP5PD", "NDUFB6", "ATP5F1B", "UBA1", "SLC18A2", "NDUFA8", "NDUFA4", "NDUFS1", "PARK7", "NDUFB9", "ATP5F1C", "NDUFA5", "NDUFA2", "SLC6A3", "SDHC", "UBE2L3", "NDUFA4L2", "SDHA", "GPR37", "ATP5F1A", "UBE2J1", "NDUFA9", "UBB", "NDUFS5", "NDUFB8", "NDUFB10")
5	KEGG_NITROGEN_METABOLISM	0.000617515140037747	0.0091418618018295	0.477270815362862	0.706878598564054	1.95909338884893	20	c("CA2", "CTH", "HAL", "CA5B", "CA4", "AMT", "GLUL", "CA14", "CA12", "CA8", "ASNS")
6	KEGG_BETA_ALANINE_METABOLISM	0.00109618240229573	0.0121966286685184	0.45505986738723	0.686250873298825	1.9424050201363	22	c("EHHADH", "ALDH3A2", "ALDH1B1", "UPB1", "GAD2", "DPYD", "ACADM", "ABAT", "ALDH9A1", "ECHS1")
7	KEGG_PROPANOATE_METABOLISM	0.000509339430332788	0.0086124667310817	0.477270815362862	0.651363193938257	1.9393515272865	28	c("EHHADH", "ACSS3", "ALDH3A2", "ALDH1B1", "SUCLG2", "SUCLA2", "ACADM", "MMUT", "PCCA", "ABAT", "MCEE", "ALDH9A1", "ECHS1", "PCCB", "HADHA", "ACACB")
8	KEGG_HUNTINGTONS_DISEASE	1.74895208791051e-06	8.13262720878387e-05	0.643551836150722	0.481944283953664	1.93614400335098	139	c("NDUFB4", "VDAC1", "SLC25A4", "SDHB", "SDHD", "PPID", "VDAC2", "POLR2K", "NDUFS4", "SOD1", "AP2M1", "ATP5PF", "NDUFB1", "ATP5MC3", "NDUFV2", "SLC25A5", "CREB5", "HTT", "ATP5MC1", "POLR2G", "CASP3", "NDUFB5", "CLTB", "NDUFC2", "NDUFS7", "NDUFA6", "NDUFB3", "ATP5PO", "VDAC3", "ATP5PD", "POLR2I", "NDUFB6", "PLCB4", "ATP5F1B", "NDUFA8", "NDUFA4", "NDUFS1", "DNALI1", "NDUFB9", "ATP5F1C", "NDUFA5", "NDUFA2", "POLR2B", "SDHC", "RCOR1", "POLR2E", "NDUFA4L2", "SDHA", "ATP5F1A", "CLTC", "CREB3L4", "DNAL1", "NDUFA9", "GPX1", "CREB1", "DCTN4", "NDUFS5", "NDUFB8", "NDUFB10", "TBPL1", "POLR2A", "CLTA", "BDNF", "NDUFAB1", "NRF1", "POLR2D", "CLTCL1", "NDUFA10")
9	KEGG_CITRATE_CYCLE_TCA_CYCLE	0.000279837142401048	0.00520497084865948	0.49849310876659	0.642138609167796	1.92775969695344	29	c("IDH2", "SDHB", "SDHD", "SUCLG2", "MDH1", "SUCLA2", "DLST", "FH", "DLD", "PDHB", "SDHC", "DLAT", "SDHA", "IDH3B", "PCK1", "IDH3A", "OGDHL")
10	KEGG_SELENOAMINO_ACID_METABOLISM	0.00147666792146196	0.0144558017574697	0.45505986738723	0.651923391721675	1.90336640005467	25	c("GGT1", "AHCY", "CTH", "MAT2A", "AHCYL1", "SCLY", "CBS", "MAT1A", "BUD23")
