baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1CF	748.29308766893	-1.384443509146	0.39225787010549	-3.52942187947351	0.0004164686412396	0.00656291230845508
A4GNT	14.400574617446	-1.5993063927647	0.591963307756543	-2.70169852051446	0.00689862832905769	0.0448586379005265
AASDHPPT	1112.97064821013	-0.519163735391298	0.188879505412438	-2.74865043858331	0.00598411670741028	0.0409070269615345
ABCB1	1287.77742335265	-0.655760850769719	0.223179049144708	-2.93827244664228	0.00330046844268322	0.0272260938572224
ABCB10	725.745826830212	-0.550425731111687	0.190284241920309	-2.89265009838389	0.00382006604656786	0.03011469033009
ABCB11	2467.48099986712	-0.769472211016072	0.199988247459325	-3.84758714970275	0.000119286849794302	0.00278390451734556
ABCC9	62.6057816959038	-1.01384311767292	0.36254846072838	-2.79643475974508	0.0051669841692784	0.0369349036212334
ABHD17B	93.1468925664346	-0.915289261942489	0.264937473310393	-3.45473688756049	0.00055083008527821	0.00800557127731829
ABI1	681.951753523739	-0.696552301164033	0.181419327242435	-3.83946028106044	0.000123305074703911	0.00285163908059588
ABRA	84.6583062483673	-2.02294405037379	0.489820607706591	-4.12996925516363	3.62811749922321e-05	0.00119708920172312
ACAD11	572.265289819877	-1.09509874994976	0.260196345116593	-4.20873994005968	2.56798740798489e-05	0.000937157726814884
ACMSD	2399.2708519691	-0.492132769534269	0.107786129507129	-4.56582652874386	4.97530081554015e-06	0.000300339714191642
ACOX1	20940.5344301988	-0.568775018066597	0.167226259722321	-3.40123027932962	0.000670832916980762	0.00908646741701945
ACSL1	8562.86953365056	-0.583116008646592	0.186677166341541	-3.12366006016897	0.00178616686444316	0.0176920520235833
ACSL4	2518.36821887118	-1.45563012619073	0.521472283973533	-2.79138541189393	0.00524829371873964	0.0373074119561589
ACTR2	876.141082862407	-0.538322224451755	0.163663897583573	-3.28919347760777	0.00100474930068933	0.0120640728484491
ACTR3	1273.29186940572	-0.622532728606354	0.169691208462261	-3.66862098660111	0.000243862285940472	0.0044887640219991
ACTR8	279.652853576167	-0.392004413111515	0.130309574619831	-3.00825487501713	0.00262752673449089	0.0232743312651351
ACVR2A	164.830730062485	-0.571738597059111	0.197175490026483	-2.89964334300535	0.00373587482192487	0.0296491556131336
ADAM10	644.186477199027	-0.795647885546555	0.19457862326451	-4.0890816894359	4.33084325466076e-05	0.00133731410963879
ADAM9	490.538396752887	-1.18522663578852	0.236587416704736	-5.00967740506544	5.4521348146888e-07	6.1924135639721e-05
ADGRF5	147.996318722334	-1.07841501964952	0.361142893333005	-2.98611723934749	0.00282544297854815	0.024301850543492
ADK	6816.40470486126	-0.709466060473627	0.190429019781658	-3.72561945278659	0.000194836157917096	0.00393081948597742
ADSS2	401.918101246224	-0.840007717619061	0.19238255748956	-4.36634031993593	1.26345575421834e-05	0.00057322602957876
AEBP2	297.585565283137	-0.657100093231601	0.219989598004708	-2.98695983442607	0.00281766738983263	0.024301850543492
AFF1	835.313763147484	-0.841594516678014	0.235671186539393	-3.57105392914607	0.000355547671492982	0.0058507402370354
AFG1L	219.855203667619	-0.383251788521824	0.131545178337638	-2.91346131697909	0.00357446119813034	0.0287701908403845
AFTPH	569.990506535585	-0.614460241200238	0.152042942636372	-4.04135983259539	5.31421416055709e-05	0.00156097405601191
AGMO	1065.51764418884	-1.0733935029349	0.245835248993716	-4.36631242805352	1.26361702209366e-05	0.00057322602957876
AGO2	737.565115304786	-0.558772485111452	0.159115138218469	-3.51174936192584	0.000445167615868252	0.00688774475692019
AGO3	77.3489477526047	-0.624394932390343	0.196072308947197	-3.1845135896191	0.00144997502574775	0.0154071150864797
AGT	9797.62546562089	-0.471797253908762	0.158148441796162	-2.98325578519998	0.0028519953688784	0.0244709820878637
AGXT2	2351.48338849474	-0.472619347950075	0.138873536058918	-3.40323550017163	0.000665928552199195	0.00905202348481406
AHCTF1	593.024183347058	-0.911903390265804	0.233251936393463	-3.90952119997646	9.2479239544075e-05	0.00228707125795049
AHCYL1	5322.24092907517	-0.359976574307274	0.116855654589534	-3.08052336510137	0.00206637141148364	0.0197099668300991
AHCYL2	145.873451670685	-0.62062590307669	0.187345308870391	-3.31273788929538	0.000923875189287203	0.0113145193908472
AHR	1084.60829155677	-1.0950554969077	0.221785007997578	-4.93746401884683	7.91450028142488e-07	8.25530835476788e-05
AHSA1	1833.18817428243	-0.47266030089415	0.114533407352136	-4.126833487464	3.67792500886165e-05	0.00120757225183888
AHSA2P	734.306295281404	-0.613887764985349	0.175087978399421	-3.50616741707368	0.000454609177362556	0.00697556336074191
AKAP1	1743.52517468623	-0.380700047640222	0.120923432875045	-3.14827356938843	0.0016423790896507	0.016677217603718
AKAP10	370.214909784333	-0.552587842605664	0.128877657051093	-4.28769311337334	1.80538282877264e-05	0.000732326320464839
AKAP9	886.850812660525	-0.56359419543442	0.172184027294464	-3.27320834743038	0.00106334065304245	0.0125610186695685
AKR1D1	7097.69788536515	-1.7147646366251	0.242796135374442	-7.0625697315181	1.63451243736518e-12	1.39233217789557e-09
ALCAM	2321.31528707204	-1.51132036512	0.223985427198663	-6.74740488263793	1.50512841742125e-11	1.04900609201455e-08
ALDH1A1	18299.091329529	-0.722822128530755	0.149620291654376	-4.83104344028737	1.35819364160564e-06	0.000115911505120217
