sample_HFS166	sample_HFS167	sample_HFS168	sample_HFS169	sample_HFS170	sample_HFS207	sample_HFS208	sample_HFS209	sample_HFS210	sample_HFS223	sample_HFS224	sample_HFS225	sample_HFS226	sample_HFS227	sample_HFS268	sample_HFS269	sample_HFS270	sample_HFS271	sample_HFS272	sample_HFS318	sample_HFS319	sample_HFS320	sample_HFS321	sample_HFS322
A1BG	2850.02826	2056.475	2278.5445	2456.6671	3077.28738	2665.223	2646.08033	2564.26568	2675.6103	2159.0034	3774.53387	2775.71346	3790.42158	4155.8789	4033.8834	5664.27728	8536.7791	7593.31115	7171.6315	3801.0401	4899.5365	4710.2008	3832.9144	5297.757
A1CF	80.2965	44.9768	18.4312	26.7482	37.0681	45.9657	64.7164	34.0148	102.118	77.5909	42.4174	59.1215	44.628	66.8211	33.3459	14.4137	11.7387	33.2394	26.0876	76.4347	54.3971	45.4756	19.101	16.6719
A2ML1	0.736342	0.220011	0.489689	0.38345	0.362646	0.578542	0.444815	0.259792	0.199282	1.46208	0.511891	0.141124	0.0877864	0.220009	0.127514	0.590324	0.147494	0.2047	0.122308	0.121254	0.200036	0.0669029	2.04661	0.683
A3GALT2	0.120203	0	0	0	0	0	0	0	0.392635	0	0.140783	0.444289	0.304737	0	0	0	0.213184	0.106439	0	0	0	0	0	0.457934
A4GALT	0.755581	0.729839	0.927323	0.695216	0.823351	0.313717	0.077226	0.393684	1.18577	1.16139	0.491575	0.82611	0.852371	0.904749	1.54665	1.76443	0.602676	0.37234	0.445891	0.572009	0.949454	0.810598	0.867867	0.400584
A4GNT	1.04291	0.566717	0.478103	0.402949	1.2743	2.80797	0.35956	1.09773	0.994193	3.75948	4.58065	6.26691	1.32155	1.7196	2.63649	0.475522	1.037	0.807665	0.576651	2.67621	2.0425	4.39297	3.63739	0.620463
AAAS	9.95467	7.80518	9.17773	9.64913	9.07307	9.41181	10.895	8.73447	5.86063	12.0289	10.2855	11.914	9.50178	8.95414	13.1359	12.436	11.9847	10.7441	8.98676	9.34221	10.3558	9.43404	12.4446	9.94461
AACS	9.54697	18.7048	18.6259	58.7788	81.735	11.911	7.80261	9.5933	10.0225	10.3079	13.6067	12.1784	15.3363	13.7761	32.8628	15.9199	19.2716	12.752	15.2328	10.2395	10.4632	10.0523	10.3728	15.0009
AADAC	79.7762	85.8469	42.4175	65.088	37.5612	82.8589	93.4001	98.2787	35.5941	143.99	91.0043	118.199	62.6258	114.451	117.932	62.7862	52.0248	73.3715	106.442	65.2025	68.0758	81.769	57.6657	32.9274
AADAT	131.1626	88.958	128.1831	122.3014	128.8001	129.7024	196.2191	128.9609	203.7424	211.3959	227.8348	175.9926	186.2547	198.539	181.5157	121.7387	117.3454	201.5841	212.2981	120.322	124.8115	143.2355	112.4942	135.8713
