Protein IDs	Stg1_1	Stg1_2	Stg1_3	Stg1_4	Stg1_5	Stg2_1	Stg2_2	Stg2_3	Stg2_4	Stg3_1	Stg3_2	Stg3_3	Stg3_4	Stg3_5	Stg4_1	Stg4_2	Stg4_3	Stg4_4	Stg4_5	Stg5_1	Stg5_2	Stg5_3	Stg5_4	Stg5_5
NP_001267607.1	25.17443848	25.16836739	26.10311508	25.05519295	25.34397697	25.89351654	25.52070236	24.77565193	25.95033646	25.88369179	24.62522316	25.0230999	24.45431519	24.46307564	25.05978012	25.0507164	23.17602921	23.93634033	24.03531837	25.30215073	25.25886154	23.70038795	24.621315	24.50057411
XP_004600167.1	20.0050602	19.02706337	21.67253876	21.70775604	20.0160408	20.22488785	21.74061203	20.67253876	19.03855705	21.2934494	21.88170052	22.18019485	22.5311718	19.31505775	20.91108131	19.88445282	18.85125732	19.65542984	21.84226227	18.67522812	21.28697968	21.49501991	22.16527176	21.65761566
XP_004600176.2;XP_055002336.1;XP_055002353.1;XP_055002348.1	20.45813751	20.58472061	18.82885551	21.37214851	20.48983574	19.97281075	20.82073021	20.30184364	20.17657661	19.58658981	21.51979828	21.20961189	20.09687042	19.45702934	20.38858414	20.22305489	20.33276176	19.5531311	19.79390526	19.67226219	20.59623337	21.37771797	22.01597214	19.46662521
XP_004600193.1	23.7929287	23.20597839	23.63754654	23.86589622	23.59662056	23.75103188	23.40444565	24.17592239	24.3925724	24.42815781	24.2731266	23.51881409	23.54392052	23.65097046	23.96066856	23.80872345	22.89474678	22.73890305	23.75959015	24.21371269	23.62511063	24.57299805	24.46307564	23.88203621
XP_004600231.1;XP_054977911.1	25.07504272	24.69858742	25.97685814	25.71636009	25.54660225	24.0539093	25.0961132	25.67772102	25.51737213	25.08176231	25.75000954	25.98444176	26.1180687	25.23374176	25.73026657	24.64432907	24.69492722	24.57790375	25.17432404	23.38640213	24.65244865	24.81215668	26.10245514	25.37795639
XP_004600246.1	25.05283356	25.02127838	24.43828392	23.84613228	23.31299019	25.50175858	25.1590786	25.60885048	24.77001572	24.4655056	25.31658554	24.82764626	24.83638954	24.80360985	24.551157	24.19692993	24.59485626	24.85790062	24.8965683	24.19910431	24.67076874	24.3617878	24.60727119	24.72982597
XP_004600271.1;XP_055001822.1	23.81938553	22.17755127	24.36606407	24.57974625	24.2386322	23.21436501	23.46575546	23.80774117	23.59911919	23.07564735	24.15290451	23.94100571	24.22920036	22.91734314	24.32855034	23.80351067	25.36616325	23.57807732	24.13171196	23.63455772	24.47704315	24.18002701	24.73902702	24.68190765
XP_004600273.1	20.90352631	19.29083443	20.9909935	21.94931221	19.75006294	21.22834969	21.11419678	21.0297184	21.00833321	19.05822754	21.04032707	21.09261703	20.26489639	21.61714935	18.57415771	19.40751266	20.63333893	19.89294243	20.60955048	17.86894798	19.59135818	20.58899879	21.26979256	21.33352661
XP_004600278.1;XP_004600281.1	23.54085159	21.01794434	23.08060074	22.86910057	21.94460106	22.01865768	21.94424438	21.14935684	21.24126816	22.93155098	19.4098053	21.73280907	21.44101143	20.70986176	23.74970245	22.67938614	18.91543579	23.01636505	22.22025108	23.06057167	25.01762962	22.97470284	22.02810097	23.0980587
XP_004600282.1;XP_054989582.1	22.77543259	21.58219528	23.06531334	23.23160362	23.93885422	21.68778038	22.43596077	22.78733826	21.72982597	20.22646904	22.21608353	22.79722977	23.06254959	22.21948433	22.59046555	22.33862305	23.86844254	20.88576508	23.18625259	22.28045273	24.21563911	23.17214203	22.67749405	23.79322624
XP_004600287.2	26.41630363	25.03992653	25.62307549	25.86159706	25.32820702	25.85730743	26.33706665	26.50595856	26.48020554	26.37805557	26.45929527	26.20142365	26.55904388	26.19798088	25.45563316	25.39806557	25.43013763	26.284132	25.64369583	25.2828083	25.57403946	25.57224655	24.85238647	25.07948494
XP_004600295.1;XP_004600294.1;XP_004600293.1;XP_004600292.1	25.20318031	24.51273918	25.19452858	24.90967178	24.72556877	24.72228813	25.01865005	24.94172096	25.15853882	24.54657364	24.90219307	23.96269989	24.83388329	24.41506195	24.490448	24.54161835	23.63843155	24.49722672	24.28862762	24.97425652	24.30646896	24.51610947	25.02331161	24.08666992
XP_004600303.1	23.9190712	23.15291977	24.64806557	24.94163132	24.41454506	24.04743385	23.12541962	24.28418541	23.99230766	24.10533524	25.03561211	25.27700043	24.55701447	24.39813042	24.56691742	24.64812088	25.32556725	24.20090103	25.0396328	25.30392838	24.88985443	25.24129105	24.33142281	24.8601284
XP_004600311.1	20.51566505	20.87829971	21.21276283	20.20990944	19.39589119	19.00535774	21.77715874	21.02553368	22.65955353	21.40145493	20.69055367	22.36418152	20.09995461	19.84113503	20.07485199	20.70750427	22.346138	19.48064041	20.65735245	21.02931404	22.06203842	20.57782364	21.43761253	21.42705917
XP_004600326.2;XP_054995198.1	20.90646553	22.04423523	23.37172318	22.71353722	23.11013985	20.83290863	17.9983387	21.58875084	21.3824234	21.67357445	21.82508659	19.53432655	21.35670471	21.16134071	21.77695847	22.26839447	23.27113342	21.72250748	23.05912018	24.00829887	23.76121521	23.09008408	22.82766533	23.79857635
XP_054998835.1;XP_004600328.1;XP_054992409.1;XP_054983816.1	26.37049294	25.98823929	27.22811699	27.59597969	27.20601654	26.19424629	26.26708412	26.67397881	26.12819481	26.20517731	26.92840958	27.42830276	26.89550591	27.20685577	26.53162956	27.03852463	27.63408852	27.14131355	27.77712059	26.92082024	27.5808239	27.35657501	27.18252945	27.54473114
XP_004600333.2	22.67117882	22.86959076	23.59536934	23.29052734	22.09931183	22.96536064	22.39084244	22.36948967	22.32731628	22.25303459	23.39283562	23.3566246	23.28996468	23.13991356	24.28954315	23.89235878	22.60157013	23.04916382	23.28883934	23.64976501	23.63267326	22.85006905	23.21700096	23.37504196
XP_004600342.1	24.40859795	24.04735184	24.67378998	24.21074295	24.06389809	24.11163712	24.34827232	24.49722672	24.82958412	24.15915489	24.59012222	23.84842682	24.22199249	23.88446045	24.11957359	23.63920403	23.49142838	23.8901329	23.65294075	23.77796173	23.67938614	23.71554947	24.30194283	23.82522202
XP_004600349.1;XP_054978576.1;XP_054985185.1	26.76888084	26.57902718	26.32328415	25.64743423	25.88105774	26.90850449	27.32945633	27.16729546	26.39250755	25.97178078	26.36871338	26.43260956	26.7624321	26.27284241	26.41128349	26.07367516	25.44005966	26.23262596	26.14505196	26.17157745	26.6092186	25.76721573	25.64688492	26.2326622
XP_004600490.2	23.69614792	23.63876152	24.00058365	23.56244087	23.23003578	23.1340332	23.47060394	24.03967476	23.71805954	23.23602104	24.38719177	23.48246956	23.50397301	23.17069244	22.79586411	23.06976128	23.67519188	22.88160706	24.14732552	22.66359901	22.58205795	22.48770332	23.53005219	22.99393272
XP_004600540.1	22.42080307	21.5279789	22.22743797	21.84375763	21.82419205	22.38908386	22.04052734	22.14111519	22.20746994	21.83418274	22.24225807	21.4850769	21.40056801	21.67353249	18.93758774	19.77343369	20.1040554	21.29703712	21.4403019	21.17840195	21.23022652	21.22270012	21.65114594	21.11756134
XP_004600544.1;XP_055001780.1	23.80950928	23.22470284	23.32567024	23.34665108	23.22968483	23.91259956	24.18434715	24.44890785	24.18063545	23.78855515	23.19595528	23.14938927	23.0519371	23.58886528	23.44947433	24.01017761	24.04335022	23.44366837	23.67378998	23.31520462	24.0089817	23.18502808	22.76563263	24.60715866
XP_004600557.1	22.69962502	21.48497772	22.5452652	21.84049606	22.34665108	21.8835659	22.13964844	22.41170502	22.04670143	21.36105156	21.46498299	20.40602684	21.64240265	21.24086189	21.57385445	19.49239922	21.3954525	21.46901321	21.46562958	21.7177887	21.91469955	21.24892998	21.40343285	19.71412468
XP_004600582.1	20.0122261	19.54054832	23.99420929	19.34890556	21.16760254	19.81396866	21.16851997	21.65931511	23.40600395	19.62494087	24.12896156	20.10162163	19.85896492	19.54724884	21.80864525	21.55557632	19.38106155	19.71610641	20.36932945	19.19820595	20.47951126	19.90801811	20.2290535	21.10629463
XP_004600610.2;XP_055001077.1;XP_004600608.2	20.65962029	19.99714088	21.70998764	20.83735847	21.06460571	20.23409271	21.25896835	20.23420906	22.23356628	20.90190697	22.10737991	20.80624771	20.65613174	20.91305542	20.57070732	20.75597	20.30016899	20.61755371	21.24527931	20.21596336	20.43989563	20.52592659	21.70969391	20.74279213
XP_004600619.2	25.03292465	23.6135807	25.29921913	27.65205193	24.833498	24.62030792	25.13747025	25.49731827	24.19242287	23.80852699	25.4907856	25.55464554	25.67049789	24.72930717	25.49795723	24.86292076	25.17771149	24.89984322	24.99606323	24.11902046	24.94422722	25.70213318	25.22125626	25.31796646
XP_004600685.1	24.50366974	24.28905106	25.85107613	27.07785797	26.89446449	24.15452766	24.11259079	24.47611618	24.10557556	24.65970612	25.38324165	26.19119835	25.13649178	25.21382332	25.48114586	25.63092613	27.23516655	25.5804081	26.78206825	25.00740051	26.15491295	26.98011017	25.54863167	26.96113205
XP_004600748.2	23.1590786	21.232687	23.13674164	24.00358772	23.99817467	22.12360573	22.54785538	23.3474617	22.62375069	23.44859314	24.50815201	24.44897079	24.06093407	23.74960136	23.01224327	23.38073349	25.73923302	23.40275574	25.20056343	23.59798431	23.51833344	24.75363541	23.92352104	25.06985092
XP_004600751.2	23.85024071	24.26799393	25.12711334	25.30587769	24.44960022	23.90140915	24.16154099	24.35830307	24.22184563	24.83701515	24.49777412	24.6552906	24.08448219	23.78516579	23.9958477	24.20508385	25.55221367	23.66719818	25.52172089	24.26613617	24.21208	25.06505013	24.06931877	24.91975403
XP_004600769.1	23.67529869	21.27167511	23.36359215	24.22228813	23.07210159	22.83254242	23.08277702	23.36279106	23.89901352	23.86514091	24.58290672	24.36258888	24.36979485	23.75806618	24.43179703	23.86636734	24.78710938	23.17551231	24.6654644	23.20483017	24.07569695	24.12273598	24.03975868	24.60569
XP_004600792.1;XP_054990972.1	27.03370094	27.58956528	26.46474266	25.86707497	26.64361382	27.4718132	27.54965973	27.91792297	27.55786133	27.92490387	28.03223038	27.26695824	26.84995461	27.04071999	26.90563965	25.84773445	26.57509232	26.7664814	26.88121986	25.95438004	25.45462799	25.6537075	26.81958199	26.56217766
XP_004600814.2	20.88829422	20.57209778	17.92552567	21.33973694	20.84515381	19.70759392	21.29097748	21.01780891	19.5725708	20.96859932	21.10742188	20.63803291	20.44050407	18.42143059	20.61629677	20.65909767	20.63537788	20.75238037	19.40904045	18.78103256	20.90771294	19.57063484	21.7755127	19.90461349
XP_054998438.1;XP_004604126.1;XP_004600818.1;XP_004605631.2;XP_054984518.1;XP_054977929.1;CON__P62894	26.53195763	25.89712143	25.89522743	25.94946861	25.2315464	25.95628738	25.73104477	26.12030602	26.21495247	25.89105988	26.54415703	26.15069771	25.7137928	25.55786133	25.63275719	25.15205383	27.23753929	26.303545	26.28492737	26.02519226	25.32878876	25.627285	25.46569252	25.81499481
XP_004600847.1;XP_055002357.1	23.97491264	22.97223282	23.29361725	22.898386	22.96479797	23.07902145	23.01748657	23.4667511	22.32108116	23.82687187	23.31478882	23.55004311	23.93309975	23.01280594	22.39644623	22.05672455	23.12189865	23.98459244	23.59957504	23.85024071	22.48775291	23.3467865	23.82667732	22.61160088
