pathway	pval	padj	log2err	ES	NES	size	leadingEdge
1	KEGG_STARCH_AND_SUCROSE_METABOLISM	3.32580566567834e-05	0.00552083740502604	0.557332238758646	0.832137725675423	2.32723931797587	12	c("AGL", "PYGL", "GBE1", "GYS2", "ENPP3", "PGM1")
2	KEGG_CITRATE_CYCLE_TCA_CYCLE	8.08023563865025e-05	0.00670659558007971	0.538434096309916	0.676179067687918	2.27832503639843	22	c("MDH2", "PDHA1", "SUCLG2", "SUCLA2", "SUCLG1", "ACO2", "ACO1", "DLST", "DLD", "PCK1", "OGDH", "PC")
3	KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	0.000713154856481724	0.0295959265439916	0.477270815362862	0.761863445292754	2.1307032599378	12	c("TAT", "CBS", "LDHA", "CTH", "GOT2", "CDO1", "AHCY", "MAT1A", "ADI1", "GOT1")
4	KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.00305073358399438	0.0723459678490097	0.431707695803346	0.776741794988726	1.97050430699383	9	c("MDH2", "HYI", "ACO2", "AFMID", "ACO1", "MTHFD1")
5	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	0.000669799050736944	0.0295959265439916	0.477270815362862	0.514528450421589	1.91507256095444	33	c("HADHA", "HADHB", "ALDH6A1", "AUH", "ACAD8", "ACAA2", "ACADM", "ALDH2", "HIBADH", "DLD", "AOX1", "PCCA", "MMUT", "ECHS1", "EHHADH")
6	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.0117839362405917	0.195613341593822	0.380730400722792	0.618713236066703	1.88933247042345	16	c("GOT2", "CPS1", "ALDH4A1", "AGXT", "ASS1", "GPT", "ASL", "GOT1", "GLS2", "ALDH5A1", "ABAT")
7	KEGG_PROPANOATE_METABOLISM	0.00985036569297857	0.181684522781605	0.380730400722792	0.523547723426527	1.78236090156433	23	c("HADHA", "ALDH6A1", "SUCLG2", "SUCLA2", "LDHA", "ACADM", "SUCLG1", "ALDH2", "PCCA", "MMUT", "ECHS1", "EHHADH", "MLYCD", "ACSS3", "ACSS1", "PCCB")
8	KEGG_SPHINGOLIPID_METABOLISM	0.00882990492730349	0.181684522781605	0.380730400722792	0.844738173900841	1.75381359942451	5	c("GLB1", "GLA", "ASAH1", "UGT8")
9	KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	0.0327067069347781	0.319371373598421	0.321775918075361	0.569841804657312	1.74009631891516	16	c("CBS", "CTH", "DMGDH", "AGXT", "DLD", "GNMT", "AMT", "GLDC", "SARDH", "SHMT1")
10	KEGG_FATTY_ACID_METABOLISM	0.016448588505446	0.248224153809458	0.352487857583619	0.481548872088386	1.68510349750564	27	c("HADHA", "ECI2", "HADHB", "ACSL1", "CPT1A", "ACAA2", "ACADM", "CPT2", "ALDH2")
11	KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	0.0471587465335007	0.412018522345322	0.321775918075361	0.708382355425189	1.66410287142108	7	c("PECR", "HADHA", "BAAT", "HSD17B12")
12	KEGG_ONE_CARBON_POOL_BY_FOLATE	0.0196398275114862	0.248343415982725	0.352487857583619	0.747094885498661	1.64862306765667	6	c("ALDH1L1", "FTCD", "MTHFD1", "AMT", "SHMT1")
13	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.0267011385051466	0.295492599456956	0.352487857583619	0.792122809819756	1.64457556104162	5	c("ACSL1", "CPT1A", "CD36", "PCK1", "ACSL5")
14	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.0209446254443262	0.248343415982725	0.352487857583619	0.575828828274315	1.64351887062588	13	c("C5", "SERPING1", "FGB", "FGG", "FGA", "CFB")
15	KEGG_GALACTOSE_METABOLISM	0.0207248901038187	0.248343415982725	0.352487857583619	0.744613753341455	1.64314792415392	6	c("GLB1", "PGM1", "GLA", "UGP2", "GAA")
16	KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	0.0647123109510448	0.473506785374708	0.287805130535564	0.65921740140326	1.60269783636656	8	c("BAAT", "SLC27A5", "HSD17B4", "ACOX2")
17	KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	0.0845481049562682	0.543288893577103	0.266350657088526	0.685724822138387	1.51319702729264	6	c("ENPP3", "QPRT", "AOX1", "NNMT")
18	KEGG_OTHER_GLYCAN_DEGRADATION	0.0545644055786408	0.431318634574018	0.321775918075361	0.855467415863901	1.50593670808449	3	c("GLB1", "MAN2B1")
19	KEGG_LONG_TERM_DEPRESSION	0.0702661521809611	0.486007552584981	0.287805130535564	0.846828338222643	1.49072875988832	3	c("PPP2R1A", "PPP2CB", "KRAS")
20	KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	0.0921501706484642	0.543288893577103	0.276500599254472	0.555154525751701	1.47107834541699	10	c("ATP1B1", "SLC25A10", "ATP1A1", "SLC38A3", "PCK1", "GLS2")
21	KEGG_NITROGEN_METABOLISM	0.0921093771599913	0.543288893577103	0.287805130535564	0.525928475129531	1.47086400243551	12	c("CTH", "CPS1", "HAL", "AMT", "CA5A", "GLS2")
22	KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	0.103542234332425	0.55445196448976	0.231126709673834	0.701466058120653	1.45635742562182	5	c("ENPP3", "DPYS", "DPYD", "ENPP1")
23	KEGG_N_GLYCAN_BIOSYNTHESIS	0.114441416893733	0.570283423990839	0.219250346703755	0.69120455946031	1.43505288836162	5	c("DDOST", "RPN2", "GANAB", "RPN1")
24	KEGG_LYSOSOME	0.0497253147253409	0.41272011222033	0.321775918075361	0.388601125649168	1.40730334219191	31	c("CD68", "GLB1", "CTSA", "CLTC", "NPC1", "GLA", "TPP1", "CTSD", "CTSB", "NAGLU", "LGMN")
25	KEGG_PPAR_SIGNALING_PATHWAY	0.135151554577928	0.589939512461875	0.249246554383295	0.411351256217362	1.40040031325643	23	c("SLC27A5", "ACSL1", "FABP1", "CPT1A", "ACADM", "CPT2", "CD36", "PCK1", "EHHADH")
26	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	0.0933616757151965	0.543288893577103	0.287805130535564	0.900713859268115	1.3945698811907	2	c("PDHA1", "PDHB")
27	KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.0949119151429879	0.543288893577103	0.287805130535564	0.39682130375004	1.38861288145891	27	c("PDHA1", "FBP1", "LDHA", "AKR1A1", "PGM1", "ALDH2", "DLD", "PCK1", "ALDOB", "GALM", "ACSS1")
28	KEGG_WNT_SIGNALING_PATHWAY	0.158620689655172	0.598068886006629	0.208955027549354	0.530070029867995	1.34472650191097	9	c("CACYBP", "PPP2R1A", "PPP2CB", "RAC1")
