OLgene	dir_prot	dir_trans	sig_prot	sig_trans
1	TTR	-0.479137039	-0.365119015294875	0.736903277	0.0354548362407049
2	GDA	0.954623032	1.26658816441164	0.598762901	0.00575295645813391
3	TJP2	0.027240372	0.450574685076185	0.015748506	0.106933491479485
4	AK3	0.263203812	0.325609510717896	0.559143701	0.380045169143062
5	RPS6	0.230914688	-0.43245499600509	0.324404088	0.324920940355311
6	NDUFB6	0.515643692	0.236628816629614	0.711628428	0.318267834785312
7	VCP	-0.173055649	0.271900591563779	0.127808095	0.260044240441379
8	STOML2	0.037697601	0.058980584721103	0.019906979	0.845499399515915
9	TPM2	-1.245611954	0.986354301189357	0.889195702	0.519976382265633
10	TLN1	-0.814316559	-0.3255443794754	0.635100679	0.0296801353916704
11	HINT2	0.705337906	0.348853613781556	1.680065244	0.213879301093584
12	CLTA	-0.377055359	0.15550215834806	0.929483963	0.66955981173834
13	GRHPR	0.459371948	0.563525603329273	0.584191979	0.0697873270138755
14	NANS	0.436950302	0.415866490602249	0.343955251	0.149529207718501
15	BAAT	-1.319013596	-0.865923214973553	1.220385739	0.0229051880516629
16	ALDOB	0.055081177	0.256686500835819	0.053847099	0.569577138263188
17	NIPSNAP3A	0.181278992	0.335065478723157	0.220056541	0.300702896677066
18	RAD23B	-0.140044785	0.403730075598321	0.341694397	0.145093342701106
19	TXN	0.121738815	0.76863335737754	0.198214817	0.00814214155468649
20	SEC61B	-0.069524384	-0.0729076057584654	0.1032051	0.901114409534364
21	CHMP1A	-0.241710281	-0.0092721544092041	0.524443696	0.97893493417936
22	APRT	-0.032303238	0.327267297780926	0.065060978	0.541813766003401
23	COTL1	-0.96033783	-0.758478119928287	1.817217855	0.206672359516112
24	GLG1	-0.1603508	0.0341625517066481	0.046251702	0.92586375119862
25	IST1	0.223201752	0.0681162742869194	0.240215049	0.832732912977019
26	GOT2	-0.406331635	0.0627118793668286	0.268556506	0.802271844689848
27	GPT2	0.93719635	0.668091215912304	0.907691045	0.0104818763570863
28	GPI	1.066708374	0.596342370821786	1.115869477	0.020139567727518
29	PSMD8	0.001036072	0.348561102131654	0.000445862	0.0343020174687336
30	CES2	0.58440361	0.352205377536423	1.072682953	0.297962820256574
31	PPP1R14A	0.502012253	-0.253978115575454	0.237786482	0.691984963770718
32	RNASET2	0.021854401	-0.301343126609119	0.018599164	0.469712115297601
33	SSB	-0.226712418	0.102264276735794	0.148147518	0.712243346573966
34	OLA1	0.480954742	0.202911815154558	0.410346691	0.563065923688231
35	SF3B1	0.590692902	-0.0657156727695904	0.652024751	0.87572067936487
36	NDUFB3	0.356126022	0.327126297210135	0.621328388	0.265543152542699
37	NDUFS1	0.947408676	0.259812151660621	0.36866675	0.378391160249884
38	IDH1	-0.494491577	-0.370106087943217	0.549418856	0.239124300443384
39	CPS1	-0.19399147	0.0247524716260948	0.093038053	0.966338515737242
