Individual,Season,Sexual_Maturity,Stage,Date,Sex,Body_Mass,Brain_Mass,Liver_Mass,Spleen_Mass,Heart_Mass,Stage_BoM_Average,Stage_BrM_Average,Stage_LM_Av,Stage_SM_Av,Stage_HM_Av,Cortex_RNA_ID,Cortex_RIN,Cortex_Reads_prefilt,Cortex_Reads_postfilt,Cortex_diff,Cortex_Pseudo_aligned_Percent,Hippocampus_ID,Hippocampus_RIN,Hippocampus_Reads_prefilt,Hippocampus_Reads_postfilt,Hipp_diff,Hippocampus_Pseudo_aligned_Percent,Liver_ID,Liver_RIN,Liver_Reads_prefilt,Liver_Reads_postfilt,Liver_diff,Liver_Pseudo_aligned_Percent
Indiv1,Summer,Juvenile,1,Jul-20,M,7.24,0.2990,0.681,0.1060,0.268,7.88,0.2800,0.7008,0.1012,0.1578,HFS146-resub,6.8,38863230,38295574,567656,50.2,HFS156,6.1,382791510,377029154,,48.1,HFS166,8.7,37697348,37273792,423556,70.4
Indiv2,Summer,Juvenile,1,Jul-20,U,8.23,0.2590,0.815,0.105,0.129,7.88,0.2800,0.7008,0.1012,0.1578,HFS147,7.2,39845000,39275726,569274,52.6,HFS157-resub,6.1,37454236,36939660,514576,50.1,HFS167,8.2,39225540,38820102,405438,65.9
Indiv3,Summer,Juvenile,1,Jul-20,F,7.71,0.2650,0.672,0.105,0.104,7.88,0.2800,0.7008,0.1012,0.1578,HFS148,7.6,38342758,37883942,458816,55.6,HFS158,7.4,41037634,40435770,601864,50.9,HFS168,7.6,38711020,38341092,369928,62
Indiv4,Summer,Juvenile,1,Jul-20,F,7.80,0.3150,0.615,0.088,0.151,7.88,0.2800,0.7008,0.1012,0.1578,HFS149,7,36267038,35795990,471048,53.3,HFS159,6,39513280,38878176,635104,48.4,HFS169,7.8,35584248,35228990,355258,59.5
Indiv5,Summer,Juvenile,1,Jul-20,F,8.41,0.2620,0.721,0.102,0.137,7.88,0.2800,0.7008,0.1012,0.1578,HFS150,8.1,35963196,35467844,495352,55.3,HFS160,8.3,35313774,34875282,438492,55.4,HFS170,8.3,36307680,35927720,379960,68.3
Indiv6,Fall,Juvenile,2,Nov-20,F,7.2,0.2433,NA,0.0724,0.1113,7.605,0.2351,0.6067,0.0624,0.1307,HFS191,7.2,39925558,39312024,613534,52.3,HFS199,7.8,34395824,33923488,472336,54.8,HFS207,8.6,38315696,38002604,313092,66.6
Indiv7,Fall,Juvenile,2,Nov-20,F,7.32,0.2305,0.6048,NA,0.119,7.605,0.2351,0.6067,0.0624,0.1307,HFS192,6.7,39181856,38701906,479950,50.9,HFS200,7.4,33781796,33429322,352474,53.4,HFS208,8.9,39177754,38884822,292932,67.4
Indiv8,Fall,Juvenile,2,Nov-20,M,7.6,0.2316,0.6641,0.0585,0.1789,7.605,0.2351,0.6067,0.0624,0.1307,HFS193,7.3,38451588,37916808,534780,50.3,HFS201,7.1,32193002,31820206,372796,52.5,HFS209,7.5,40876026,40503952,372074,63.4
Indiv9,Fall,Juvenile,2,Nov-20,M,8.3,NA,0.5512,0.0564,0.1134,7.605,0.2351,0.6067,0.0624,0.1307,HFS194,8.1,39381400,38920846,460554,55.2,HFS202,8,32562154,32187232,374922,55.5,HFS210,8.9,34312308,34013794,298514,68.1
Indiv10,Winter,Juvenile,3,Feb-21,F,6.55,0.2130,0.8377,0.0502,0.132,6.88,0.2256,0.6771,0.0481,0.1720,HFS258,7.2,40344368,39853698,490670,48.1,HFS253,7.8,40993428,40406546,586882,52.8,HFS223,8.8,35672000,35258538,413462,66.7
Indiv11,Winter,Juvenile,3,Feb-21,M,6.72,0.2002,0.714,0.0426,0.30,6.88,0.2256,0.6771,0.0481,0.1720,HFS259,8.2,36151626,35851934,299692,61.5,HFS254,8,36946964,36483770,463194,55,HFS224,8.9,32789192,32452156,337036,68.8
Indiv12,Winter,Juvenile,3,Feb-21,M,6.5,0.2482,0.5638,0.0544,NA,6.88,0.2256,0.6771,0.0481,0.1720,HFS260,6.9,31980600,31553202,427398,53.1,HFS255,7.6,41251048,40670538,580510,54.6,HFS225,8.8,31957692,31655716,301976,67
Indiv13,Winter,Juvenile,3,Feb-21,M,7.41,0.2410,0.5931,0.0516,0.1407,6.88,0.2256,0.6771,0.0481,0.1720,HFS261,8,42743272,42156486,586786,54.4,HFS256,8,43073268,42556508,516760,56.2,HFS226,8.7,30393756,30105144,288612,66
Indiv14,Winter,Juvenile,3,Feb-21,M,7.22,NA,0.6768,0.0417,0.1154,6.88,0.2256,0.6771,0.0481,0.1720,HFS262,7.5,42466986,41825916,641070,53.7,HFS257,7.5,38552370,38052868,499502,54.8,HFS227,8.8,32612972,32285784,327188,67.4
Indiv15,Spring,Adult,4,Apr-21,M,10.5,0.3786,1.1665,0.1079,0.1715,10.604,0.2968,1.2137,0.1118,0.1727,HFS298,7.9,41651156,40997884,653272,53.2,HFS303,8.9,43262118,42657608,604510,56.3,HFS268,8.8,43516094,43087708,428386,64.1
Indiv16,Spring,Adult,4,Apr-21,M,11.01,0.2731,1.3526,0.1296,0.176,10.604,0.2968,1.2137,0.1118,0.1727,HFS299,8.7,36966132,36552296,413836,61,HFS304,8.5,39760968,39290378,470590,56.3,HFS269,8.1,39509678,39041738,467940,65.4
Indiv17,Spring,Adult,4,Apr-21,M,10.3,0.2727,1.0078,0.1238,0.1899,10.604,0.2968,1.2137,0.1118,0.1727,HFS300,6.4,42367552,41733740,633812,48.5,HFS305,8.3,34934642,34494988,439654,52.5,HFS270,8.5,39793212,39559674,233538,67.4
Indiv18,Spring,Adult,4,Apr-21,M,11.4,0.2627,1.1836,0.116,0.1649,10.604,0.2968,1.2137,0.1118,0.1727,HFS301,8.7,47441878,46809956,631922,58,HFS306,8.8,38776826,38294870,481956,56.8,HFS271,8.6,44568664,44165976,402688,64.4
Indiv19,Spring,Adult,4,Apr-21,M,9.81,NA,1.3582,0.0817,0.1614,10.604,0.2968,1.2137,0.1118,0.1727,HFS302,8.4,45770688,45082344,688344,54.5,HFS307,8.7,32803880,32489926,313954,61.6,HFS272,8.4,45492134,45044768,447366,63.4
Indiv20,Summer,Adult,5,Jun-21,M,11.64,0.2710,0.9398,0.1404,0.1519,12.108,0.2537,1.0289,0.1353,0.2158,HFS338,7.8,41308568,40777006,531562,54.5,HFS348,8.4,47915670,47228876,686794,56.5,HFS318,8.7,51301438,50841264,460174,69.2
