nodeName	altName	nodeAttr.nodesPresent...
AGK	NA	grey60
AKR1D1	NA	grey60
BCAT2	NA	grey60
COMT	NA	grey60
ETNK2	NA	grey60
GLS2	NA	grey60
GSS	NA	grey60
HNMT	NA	grey60
IMPDH1	NA	grey60
LACC1	NA	grey60
MAOB	NA	grey60
MCCC2	NA	grey60
MDH2	NA	grey60
MOGAT3	NA	grey60
MTMR2	NA	grey60
NAMPT	NA	grey60
NDUFB1	NA	grey60
NFS1	NA	grey60
PAPSS2	NA	grey60
PDE6A	NA	grey60
PHOSPHO1	NA	grey60
PRXL2B	NA	grey60
PYCR1	NA	grey60
QPRT	NA	grey60
SCP2	NA	grey60
SIRT4	NA	grey60
SRD5A1	NA	grey60
SRD5A3	NA	grey60
ST3GAL3	NA	grey60
ST3GAL5	NA	grey60
TMEM86B	NA	grey60
