nodeName	altName	nodeAttr.nodesPresent...
ATG12	NA	red
BRAF	NA	red
CCND1	NA	red
CREB3L2	NA	red
EGFR	NA	red
EP300	NA	red
FBXO25	NA	red
FOXO1	NA	red
G6PC3	NA	red
GSK3B	NA	red
IRS1	NA	red
MAP2K1	NA	red
MAPK11	NA	red
MAPK14	NA	red
MAPK8	NA	red
MAPK9	NA	red
MDM2	NA	red
MLXIPL	NA	red
NR1H3	NA	red
PDPK1	NA	red
PIK3CA	NA	red
PLK3	NA	red
PPARA	NA	red
PPARGC1A	NA	red
PPP1CC	NA	red
PRKAA1	NA	red
PRKAB1	NA	red
PRKAG2	NA	red
PTPN11	NA	red
RELA	NA	red
RPS6KA2	NA	red
RPS6KB1	NA	red
SETD7	NA	red
SGK2	NA	red
SIRT1	NA	red
SMAD4	NA	red
SOS2	NA	red
