nodeName	altName	nodeAttr[nodesPresent, ]
A1BG	NA	red
A1CF	NA	red
AATK	NA	red
ABCA1	NA	red
ABCB8	NA	red
ABHD11	NA	red
ABHD13	NA	red
ABHD17B	NA	red
ACBD5	NA	red
ACD	NA	red
ACER2	NA	red
ACP3	NA	red
ACTB	NA	red
ACTR8	NA	red
ACVR1	NA	red
ACVR2A	NA	red
ACVR2B	NA	red
ADAP1	NA	red
ADAP2	NA	red
ADGRF5	NA	red
ADGRL4	NA	red
ADH7	NA	red
ADPRS	NA	red
ADRA1D	NA	red
AEBP2	NA	red
AFF4	NA	red
AFTPH	NA	red
AGFG1	NA	red
AGGF1	NA	red
AGO2	NA	red
AGO3	NA	red
AHCYL2	NA	red
AHR	NA	red
AIDA	NA	red
AKAP11	NA	red
AKAP13	NA	red
AKAP8	NA	red
AKAP9	NA	red
ALAD	NA	red
ALB	NA	red
ALG3	NA	red
ALG8	NA	red
ALKBH3	NA	red
ALKBH4	NA	red
ALKBH5	NA	red
ALKBH8	NA	red
ALMS1	NA	red
AMIGO1	NA	red
AMMECR1L	NA	red
ANAPC13	NA	red
ANHX	NA	red
ANKIB1	NA	red
ANKLE2	NA	red
ANKMY2	NA	red
ANKRA2	NA	red
ANKRD12	NA	red
ANKRD13B	NA	red
ANKRD13C	NA	red
ANKRD17	NA	red
ANKRD44	NA	red
ANKRD46	NA	red
AP3S1	NA	red
APC	NA	red
APPBP2	NA	red
AR	NA	red
ARFGEF2	NA	red
ARFRP1	NA	red
ARGLU1	NA	red
ARHGAP1	NA	red
ARHGAP21	NA	red
ARHGAP5	NA	red
ARHGAP6	NA	red
ARHGEF16	NA	red
ARHGEF2	NA	red
ARID2	NA	red
ARID4A	NA	red
ARID4B	NA	red
ARIH2	NA	red
ARK2N	NA	red
ARL2	NA	red
ARL2BP	NA	red
ARL4A	NA	red
ARL5B	NA	red
ARL6IP1	NA	red
ARL6IP5	NA	red
ARMC5	NA	red
ARPC4	NA	red
ARPIN	NA	red
ARRDC5	NA	red
ART4	NA	red
ARVCF	NA	red
ASAP3	NA	red
ASDURF	NA	red
ASH1L	NA	red
ASNSD1	NA	red
ATAD2B	NA	red
ATF1	NA	red
ATF2	NA	red
ATF3	NA	red
ATF4	NA	red
ATF6	NA	red
ATF6B	NA	red
ATG12	NA	red
ATG7	NA	red
ATIC	NA	red
ATP6AP2	NA	red
ATP7A	NA	red
ATRX	NA	red
ATXN1L	NA	red
ATXN2	NA	red
