...1	Genes	moduleColor	GS.livermass2	p.GS.livermass2	MM.grey60	p.MM.grey60	MM.red	p.MM.red	MM.blue	p.MM.blue	MM.orange	p.MM.orange	MM.sienna3	p.MM.sienna3	MM.green	p.MM.green	MM.brown	p.MM.brown	MM.darkgrey	p.MM.darkgrey	MM.darkolivegreen	p.MM.darkolivegreen	MM.lightyellow	p.MM.lightyellow	MM.skyblue3	p.MM.skyblue3	MM.paleturquoise	p.MM.paleturquoise	MM.greenyellow	p.MM.greenyellow	MM.saddlebrown	p.MM.saddlebrown	MM.darkturquoise	p.MM.darkturquoise	MM.magenta	p.MM.magenta	MM.steelblue	p.MM.steelblue	MM.plum1	p.MM.plum1	MM.mediumpurple3	p.MM.mediumpurple3	MM.purple	p.MM.purple	MM.darkgreen	p.MM.darkgreen	MM.lightcyan	p.MM.lightcyan	MM.lightcyan1	p.MM.lightcyan1	MM.white	p.MM.white	MM.lightsteelblue1	p.MM.lightsteelblue1	MM.royalblue	p.MM.royalblue	MM.grey	p.MM.grey	MM.darkmagenta	p.MM.darkmagenta	MM.violet	p.MM.violet	MM.tan	p.MM.tan	MM.cyan	p.MM.cyan	MM.darkorange	p.MM.darkorange	MM.skyblue	p.MM.skyblue	MM.black	p.MM.black	MM.midnightblue	p.MM.midnightblue	MM.salmon	p.MM.salmon	MM.darkred	p.MM.darkred
1	TSC22D3	TSC22D3	grey60	-0.867120926507967	4.1960480796068e-08	-0.887777471223909	7.22910705694546e-09	0.554719552926149	0.00490400448184738	0.617313607015909	0.00131065774897873	-0.554811755451571	0.00489538469054882	0.471741059757442	0.0199515098840465	-0.584913985800812	0.00268123484640249	-0.46653480794675	0.0215556306750126	-0.45041080427595	0.0271962678258581	-0.334815757005549	0.109766179404197	-0.467851369926082	0.0211404532862813	-0.255805352814144	0.227630160046235	0.170886655000265	0.424651404123551	0.461563115593196	0.0231833303224038	-0.213873214896994	0.315619394892161	0.272158670142475	0.198243296699229	-0.238993481797888	0.260709264592236	0.208720190779113	0.327695320382495	0.380205622482127	0.0668458022165394	0.176968117897098	0.408100774146035	0.0214393307468653	0.92079290803926	0.229724548567884	0.280203933615128	-0.368015553854972	0.0768351605960525	-0.111920809550352	0.602597819912689	0.225783268717609	0.288764954525944	0.279343966980323	0.186187115388113	0.136113856847734	0.525960715129121	-0.0321830299227297	0.881328325990293	0.168718574339257	0.430638718227147	-0.0991457151353696	0.644854417075127	0.0467600545190257	0.828234946717	0.231651321149537	0.276077705137532	0.173821240424467	0.416619893696703	-0.0844835764392017	0.694694975437836	-0.20643861531974	0.333129912061977	-0.138761442559249	0.517865148621703	-0.205374606552128	0.335682705162035	-0.0186142717691324	0.931204098619455
2	MAPK8IP1	MAPK8IP1	grey60	0.861058154329356	6.65535601004175e-08	0.837187319697309	3.38687274735094e-07	-0.493747512817382	0.014203685165963	-0.578434653071441	0.00306693736621757	0.692844362730878	0.00017498229593749	-0.496196381678578	0.0136583257251976	0.418977392959951	0.0415658031741288	0.488772424098997	0.0153666518749039	0.491214175146825	0.0147865094888759	0.2981045017007	0.157111315101913	0.508729753168176	0.0111292417884949	0.389824692785088	0.0596905616315165	-0.0930379187336736	0.665451403309711	-0.437242397877462	0.0326321557433133	0.262868867172515	0.214602380583961	-0.307749207402751	0.143480521984418	0.187156671680758	0.381190299068357	-0.283842625003278	0.178900743662312	-0.397870698460776	0.0541719098648309	-0.321654045795628	0.125345049640297	-0.113039609710304	0.598953021630527	-0.230045350102461	0.279514241359719	0.163780569771086	0.444443853295157	0.138848365447796	0.517600383454352	-0.233279366796375	0.272621403479359	-0.356754045764129	0.087032571475494	-0.245562240084786	0.24743561138181	0.0409608861755563	0.849282864092364	-0.218782174800021	0.304371861302511	0.0805880183261516	0.708156576594956	0.144351455253501	0.500971837663701	0.0181815687639469	0.932799748164693	-0.185354819334512	0.385874109866845	0.114874322901328	0.592996160639144	0.264502724650132	0.211661649683927	0.173858932799991	0.416517280789469	0.181671901209056	0.395548655548561	-0.0478524716390271	0.824282408086306
3	EPPK1	EPPK1	grey60	0.85804950687741	8.30124926683956e-08	0.946544811389168	2.73761339923921e-12	-0.629259135898617	0.00098678934955118	-0.690428903962242	0.00018831686324222	0.52421488852013	0.00855085941344875	-0.557637678984474	0.00463730009601433	0.648372433343249	0.00061122445062009	0.476370983758976	0.0186076042906373	0.477183489778186	0.0183795375042931	0.259499118043535	0.220753644591311	0.468704407527054	0.0208749210413846	0.239513546437537	0.259641989415978	-0.239617257696228	0.259429490373267	-0.428040139923368	0.0369194461050997	0.267067703178812	0.207099872636929	-0.251374363316208	0.236064487746194	0.312597177775101	0.136957117964303	-0.210471562190339	0.323560173530485	-0.121928100027688	0.570333431278766	-0.33316101429488	0.111642419126476	-0.220599926259221	0.300270608159489	-0.206800892122777	0.332263396054561	0.358004492260348	0.0858526759725575	0.312910671095334	0.136542734707206	-0.174514717276094	0.414734207896051	-0.322160133289833	0.124717937792695	-0.205406664864053	0.335605619518324	0.0319040095646298	0.882350187934812	-0.0932340899598704	0.664786104396567	0.175851062327702	0.411113716938814	-0.00810729400801068	0.970008463858302	-0.163259446134937	0.445914311841387	-0.249189388450788	0.240298227975787	-0.126002134873588	0.557421815007642	0.384324255832707	0.063705861426308	0.196608962063495	0.357156439687588	0.078669996398876	0.714816128159766	-0.161849656112604	0.449905210143814
4	MAOB	MAOB	grey60	-0.831365055967132	4.84376406211619e-07	-0.855774169481387	9.77885062331123e-08	0.634586246533826	0.00086620710052184	0.742904161389363	3.20788421423143e-05	-0.635249354643675	0.00085212488286822	0.463405388042252	0.0225690002288015	-0.464715061304093	0.0221403201231605	-0.367925778081153	0.0769126990785493	-0.489496743365994	0.0151926501045595	-0.300344600731671	0.153867040127627	-0.476581088192267	0.0185484095770885	-0.310427403877498	0.139849926845943	0.238782257833711	0.261143542328808	0.219536491424637	0.30266577692578	-0.327341484440839	0.1184278630447	0.556127062356432	0.00477379894173202	-0.214290619917875	0.314653281032594	0.358422299181165	0.0854611322577657	0.258810489515743	0.222025005799064	0.190372293291644	0.372912605456735	0.0573475721080091	0.790111709074564	0.0599661044908551	0.780751073485433	-0.253914110297128	0.231205338063418	-0.134109230232279	0.532130028753132	0.0774892561795671	0.718925868201162	0.169714894633832	0.427881670011357	0.168303435373895	0.431790325836787	-0.114141721848077	0.595371707599935	0.126599392824442	0.555540146457433	-0.269992856217295	0.201979049603453	-0.0492088757207724	0.819380493953547	0.0176783092827774	0.93465589957982	0.0920357534099141	0.668853980064686	0.0215279380609653	0.920466558827475	-0.316878991761943	0.131374841606936	-0.240772228075164	0.257070584384507	-0.253490797590755	0.232010612938346	0.146078011747141	0.495809604738217
5	PELI1	PELI1	grey60	-0.818497154983845	1.02047640470652e-06	-0.82240690878524	8.18837237867565e-07	0.469004915481265	0.0207820252418692	0.5495713091481	0.0054059613033994	-0.449695441997462	0.0274715583918574	0.434202454159759	0.0340021839457679	-0.536833203238769	0.00683595721533014	-0.394028221088043	0.056755798798874	-0.43252899256059	0.0347756409904277	-0.339055638448367	0.105064609561404	-0.398361994143085	0.0538482269708085	-0.310033233450335	0.140380102140896	0.0116559401300558	0.956890936398502	0.466048245595262	0.0217107268543266	-0.280509588920789	0.18427992614274	0.0381798025069694	0.859413196534773	-0.247627410493297	0.243355112307887	0.127189452304733	0.553683994387954	0.469253118978206	0.0207055509985934	0.181023387738116	0.397266204911471	0.028229673551356	0.895823182308268	0.226902028238573	0.286318373799876	-0.234435075524098	0.270184644675583	-0.277370922873999	0.189446232103088	0.169864815218922	0.427467634049548	0.229612474396632	0.280445135388361	0.266276468202668	0.20849993592797	-0.116614937200085	0.587368281635724	0.131065942588269	0.541560489809024	-0.111116974709366	0.605222250186004	-0.0355544318595362	0.868996147005846	0.227893024785609	0.284162102281634	0.240884054199648	0.256842928666302	0.0662366677125233	0.758457276976772	-0.352141275075044	0.0914904746988193	-0.0972011315784696	0.651385466818682	0.0420814911901266	0.845207407093994	0.0968642027737486	0.652519620819289
6	CUX2	CUX2	grey60	0.817673243609125	1.06822354956413e-06	0.934227370091813	2.52825287298648e-11	-0.659012490182709	0.00046152596015781	-0.67751419163085	0.00027573283594627	0.557849770328805	0.00461840099311288	-0.574306826497861	0.00333637357871606	0.701835933245288	0.00013230437300492	0.30097440324095	0.152963504236425	0.426152559968729	0.0378515769762422	0.395904032923777	0.0554827524070479	0.485520628178413	0.0161680252777594	0.375069498083886	0.0709257928333761	-0.243739140099597	0.251074609382713	-0.431991078920201	0.0350272025593212	0.160928958459765	0.452521687577293	-0.287189374149876	0.173609671632972	0.206569819613903	0.332815933025604	-0.253812626312137	0.231398224289016	-0.0979023308300839	0.649027528823754	-0.337202889858552	0.107100473554231	-0.253363242880375	0.232253624892789	-0.215725837279482	0.311345180133842	0.438064475836788	0.0322693163382418	0.274290176990561	0.19461286459216	-0.181904521754092	0.394933592193926	-0.374307359794735	0.0715470331186265	-0.195366298259222	0.360264329417167	0.0303051410729446	0.888209221111021	-0.0588143412816428	0.784864797719813	0.13880991792846	0.517717485700445	6.55160765568666e-05	0.999757581472959	-0.146234654122997	0.495342569780679	-0.270528889857099	0.201050049926617	-0.111569554556648	0.603744041763374	0.377888546450691	0.0686635785753569	0.228466463164142	0.282919060538677	0.0499375072724651	0.816749984944021	-0.186662677392928	0.382471167323678
7	CDKN1B	CDKN1B	grey60	-0.815745918453198	1.18777838450569e-06	-0.844536004362747	2.11274590261311e-07	0.692704043245336	0.00017573375139964	0.620970041355047	0.00120305152377236	-0.410439040021015	0.04635290122022	0.542573370248561	0.00615675482675485	-0.654873854556884	0.0005154708176626	-0.309130473868675	0.141599762183631	-0.478643897472614	0.0179753246410827	-0.283741629328901	0.179062127000752	-0.380040574444197	0.0669740533176758	-0.274164550186057	0.194825568476592	0.0665109650865709	0.757486175718455	0.44225299439252	0.0304702082552286	-0.293564092030227	0.163834302555013	0.461938701184313	0.0230570039903426	-0.181432528858215	0.396182132579939	0.163216964543727	0.446034295945157	0.179649689862396	0.400918140855668	0.169385547122946	0.428791991493244	0.137471599905665	0.521801620058069	0.117488649666399	0.584552028786504	-0.37472089744305	0.0712094348188349	-0.260881120719352	0.218216828295703	0.323017761228517	0.123660417155651	0.267556883637201	0.206237465001115	0.193889325402265	0.363978678359279	-0.12056494895156	0.574682968781088	0.0613083580332259	0.775964177496042	-0.12259212002791	0.568219978256751	0.00741686278129403	0.972561614946562	0.203003037240454	0.341414617751004	0.215491583170953	0.311883661654125	-0.0135789380516456	0.949786919892033	-0.391570722796362	0.058457661029528	0.118062223121208	0.582706401689207	0.0180817516749514	0.933167872747974	0.0626859954731458	0.771059309706758
8	AKR1D1	AKR1D1	grey60	-0.813208210541163	1.36332363995919e-06	-0.869427839117	3.49977168691921e-08	0.541957193282842	0.00622684449733281	0.734768365273646	4.33358052471363e-05	-0.717810082848037	7.84793396739878e-05	0.362274457620698	0.0819140687452492	-0.423746791729619	0.0390664561809067	-0.367739019617297	0.0770741905004974	-0.499144313997062	0.0130247383766867	-0.347479736224548	0.0961666231251768	-0.539239055345998	0.00654404583812842	-0.212713175619188	0.318313889010089	0.330748319786215	0.114420065541038	0.253216931567522	0.232532577905341	-0.259799909922589	0.220199842052311	0.427606320889887	0.0371320510875041	-0.250044988831313	0.238634479641313	0.370382823243343	0.0748118679578591	0.28093225162954	0.183591699899001	0.216200656358423	0.310255460483934	0.0397138642664456	0.853822481908751	0.0612724939117696	0.77609197814708	-0.261039004355032	0.217928260771921	-0.134952922010206	0.529529388260591	0.117533077163731	0.584408981047668	0.27864529710063	0.187336756408022	0.185219134708697	0.386228131893071	-0.0808148797999552	0.707370252183342	0.179084935430803	0.402424943995927	-0.23475157717671	0.2695197457787	-0.0553574298318748	0.797244956418359	-0.0786393830198289	0.714922586050509	0.202002150741939	0.343851057557861	0.0328893372104331	0.878742427027221	-0.366559669489813	0.0780999219441271	-0.231081676910693	0.277293577749544	-0.32854450411489	0.117001116608895	0.00241830685504467	0.991052105118554
9	COL9A3	COL9A3	grey60	0.809655800608617	1.64782974365196e-06	0.914558054024911	4.09491223228988e-10	-0.612879653477406	0.00145211500840975	-0.666375379120664	0.00037756280944158	0.570889374762838	0.00357433754244703	-0.504065218043013	0.0120210077726435	0.749554710102256	2.48796903183136e-05	0.352884993661016	0.0907604266130198	0.36057035056214	0.0834692555982349	0.351476337198769	0.0921468969046824	0.640488130124084	0.00074763149877623	0.485832292469043	0.0160897703622709	-0.144836820705317	0.499517972489251	-0.496747769555313	0.0135379337232233	0.0926520462885125	0.666760773201944	-0.298187165456277	0.156990745804955	0.179980414211968	0.40003721093375	-0.138162462968735	0.519691396388522	-0.0660976823928079	0.758949465278549	-0.208717861515679	0.327700841123301	-0.140052711537993	0.51393868946646	-0.273322481514841	0.196255402609303	0.392515571261119	0.0577987367513485	0.361545040080468	0.0825770464073297	-0.20934416910666	0.326218409929075	-0.276055100826858	0.191641334551954	-0.284595147795592	0.177701436031795	0.0520216618698212	0.809236443072062	-0.0833193862090079	0.698708827476031	0.0805703307534997	0.708217895652091	-0.115940048838248	0.589547649728728	-0.151200301657361	0.480651349514093	-0.224237743580085	0.292166296147011	-0.134262596043261	0.531656838874071	0.34618903672524	0.0974922434799133	-0.115426923888777	0.591206963018866	0.233989033025185	0.27112345373559	-0.0543647669001139	0.800808881399915
10	SERINC3	SERINC3	grey60	-0.807463312971381	1.84873249294675e-06	-0.801289343731636	2.53661908708106e-06	0.663888088635356	0.0004043066441454	0.801403867728259	2.52202934553589e-06	-0.576387926813161	0.00319813446926368	0.448286427967609	0.0280203160106888	-0.50448765565109	0.0119378978063442	-0.458772322252361	0.0241395887292471	-0.536336075258741	0.00689761047654548	-0.325509300582666	0.120625084766517	-0.396610485762358	0.0550090830708189	-0.215835882308164	0.311092415820807	0.377330170739847	0.069107224090092	0.0937711506845313	0.662965963328947	-0.116646975493094	0.587264908974392	0.35990361173941	0.0840837403218606	-0.130625616582196	0.542931354114855	0.39348800960731	0.0571265781174602	0.30112579624056	0.152746871338432	0.166121916914919	0.437869113656431	0.187465286443332	0.380391342114547	-0.0468410936021554	0.827941594285933	-0.3342546700958	0.110399756404515	-0.097991944218119	0.648726418930347	0.0265047383332401	0.902158023484136	0.141361165199328	0.509974724937813	0.0303778059209476	0.88794281614151	0.0548021962120622	0.799237913705889	0.178178552967347	0.404849821377352	-0.426931979809416	0.0374644523870009	0.0192611291015764	0.92881920797652	-0.024539374493012	0.909382887919411	0.0846289938275334	0.69419416693452	0.0726767885392949	0.735753605945619	-0.359326546406235	0.0846183217241007	-0.19098890961441	0.371337225968884	-0.170836396857889	0.424789681266847	0.0933508901426928	0.664390102534098
