...1	Genes	moduleColor	GS.livermass2	p.GS.livermass2	MM.grey60	p.MM.grey60	MM.red	p.MM.red	MM.blue	p.MM.blue	MM.orange	p.MM.orange	MM.sienna3	p.MM.sienna3	MM.green	p.MM.green	MM.brown	p.MM.brown	MM.darkgrey	p.MM.darkgrey	MM.darkolivegreen	p.MM.darkolivegreen	MM.lightyellow	p.MM.lightyellow	MM.skyblue3	p.MM.skyblue3	MM.paleturquoise	p.MM.paleturquoise	MM.greenyellow	p.MM.greenyellow	MM.saddlebrown	p.MM.saddlebrown	MM.darkturquoise	p.MM.darkturquoise	MM.magenta	p.MM.magenta	MM.steelblue	p.MM.steelblue	MM.plum1	p.MM.plum1	MM.mediumpurple3	p.MM.mediumpurple3	MM.purple	p.MM.purple	MM.darkgreen	p.MM.darkgreen	MM.lightcyan	p.MM.lightcyan	MM.lightcyan1	p.MM.lightcyan1	MM.white	p.MM.white	MM.lightsteelblue1	p.MM.lightsteelblue1	MM.royalblue	p.MM.royalblue	MM.grey	p.MM.grey	MM.darkmagenta	p.MM.darkmagenta	MM.violet	p.MM.violet	MM.tan	p.MM.tan	MM.cyan	p.MM.cyan	MM.darkorange	p.MM.darkorange	MM.skyblue	p.MM.skyblue	MM.black	p.MM.black	MM.midnightblue	p.MM.midnightblue	MM.salmon	p.MM.salmon	MM.darkred	p.MM.darkred
1	CPN2	CPN2	red	0.835888248687641	3.67270197976231e-07	0.731071670134395	4.95080431833853e-05	-0.716016173870043	8.33629618289669e-05	-0.652593130020668	0.00054746652618219	0.319945465677657	0.127479090196682	-0.542008321245636	0.00622100346132831	0.669267339702447	0.00034840893035377	0.601789076273886	0.00186433999685073	0.458336852896876	0.0242916258093069	0.147445761902062	0.491738996949285	0.343429586678715	0.100371823681834	0.492364304696061	0.0145195281228698	-0.314187856317963	0.134863815286003	-0.250262006336426	0.238213685382187	0.20740884281307	0.330812307920126	-0.32578647989148	0.120290791344616	0.218374972662124	0.305295317935016	-0.191314479407775	0.370506986161165	-0.188690123213616	0.37722987193536	-0.0533116225563201	0.80459416936123	-0.0353582480146307	0.869712979995667	-0.0825618562836926	0.701324832390069	0.181056852085365	0.397177474383471	0.40814212226358	0.0477115707724714	-0.0914456257462609	0.670860564098328	-0.0590140482285861	0.784151105404678	-0.0899178293734523	0.676065582124558	0.0549581306484133	0.798678078765662	-0.0678646121824817	0.75269906495883	0.26683390188473	0.207512914039785	-0.0539603994768495	0.802261778688323	-0.141279935034247	0.510220378084315	-0.163626716228769	0.444877715097895	-0.0709980493965819	0.741651947594725	0.117829037798722	0.583456433207812	-0.0337705356237642	0.875517913740096	-0.137308369718671	0.522300800272918	-0.137479034528571	0.521778889399797
2	PNKD	PNKD	red	0.826990690170914	6.28252535473347e-07	0.819241629450993	9.78978800124309e-07	-0.756679913852735	1.8784468352617e-05	-0.71842575763982	7.68620835741762e-05	0.446278092246545	0.0288176257365475	-0.542124108164129	0.00620779249592377	0.63331977091839	0.00089366008549301	0.290847916569031	0.167951142932943	0.533149821791419	0.00730388192749781	0.310960255035312	0.139135499347696	0.427789456372017	0.0370421826630912	0.380206585925531	0.0668450541219302	-0.320871576716315	0.126319128119922	-0.169171503836989	0.42938417136827	0.259368795708683	0.220993875408658	-0.370343123052605	0.0748454625426747	0.225252792637719	0.289929600423866	-0.33109610095324	0.114016590277646	-0.0820425053506553	0.703120231867547	-0.0864696464271475	0.687865865493723	-0.23007998591573	0.27943984195166	-0.0086111695675709	0.9681453574795	0.258915931875872	0.221830020356876	0.339518208019073	0.104560806945343	0.0873128453385163	0.684973629551177	-0.0125720636314497	0.953506126486449	-0.207875622252061	0.329700766233437	0.0602442961447914	0.779758313830774	0.00134590734160448	0.995019987047429	0.28850229900521	0.171563994042013	-0.149181271736518	0.486598008059774	-0.189040489418244	0.376328308198204	-0.216228092965195	0.310192564546431	-0.0983374001618851	0.647566152598468	0.355021111655164	0.0886877908137954	0.131866444063203	0.539072417449959	-0.0425674443061675	0.84344126572069	-0.120586442800865	0.574614273206829
3	EPB41L4B	EPB41L4B	red	0.823065984524196	7.88595663109666e-07	0.713089059890226	9.19045579417312e-05	-0.804457356165434	2.15953883691986e-06	-0.671956225825706	0.00032307564395869	0.330146836846871	0.115120334617414	-0.566550807939604	0.00389695484223856	0.633074360504023	0.00089906545322936	0.454012176374854	0.025843774283921	0.286995353756153	0.173913406833326	0.456748250993248	0.0248528114528472	0.311664291189809	0.138195564449914	0.276665801733809	0.190620388253402	-0.412080254072501	0.0454007771146862	-0.0884947963269266	0.680926674810067	0.451871121842299	0.0266411656384169	-0.32124319174136	0.125855831876018	0.134965685359823	0.529490092030618	-0.394219239050797	0.0566251381520295	-0.162685829053039	0.447535866031997	-0.063899449993107	0.766746023286583	-0.192042434047153	0.368654501556194	-0.0556412067608334	0.796226840288234	0.239481880744831	0.259706893117568	0.260889084683039	0.218202266266492	0.172881355427993	0.419183096482442	-0.102299400944802	0.634316638841713	0.0823484098899272	0.702062530858156	0.0856776746536441	0.690586261886082	-0.0282778194823263	0.895646452716072	0.284770065545338	0.17742346591052	0.0187252770152333	0.930794793299578	-0.262810105102912	0.214708652175761	-0.243866843496032	0.25081858230418	-0.0377735854776415	0.860894718029649	0.122810233729167	0.567526523527961	-0.0518395013607236	0.809892504253808	0.0582398259055566	0.786918878558593	-0.00601842244886984	0.977733694294477
4	CDC42EP1	CDC42EP1	red	0.815768605957984	1.18630442222772e-06	0.848628939471749	1.60733789714427e-07	-0.781012430023575	6.67036370835687e-06	-0.730019362584907	5.14006564278918e-05	0.369074672795715	0.0759248743219427	-0.608082441888156	0.00161967780964814	0.747400970643992	2.70367326156517e-05	0.629131800684247	0.00098983969360262	0.360965859110942	0.0831063451307447	0.249287436191408	0.240107185797466	0.400549394310385	0.0524252652258914	0.236310330518096	0.266260397733344	-0.358036236518457	0.0858228799386775	-0.27790813856822	0.188555002093199	0.264313709993007	0.212000458893874	-0.302885817888421	0.15024431280625	0.186900791375824	0.381853460203985	-0.277203941286272	0.189723838190337	0.0602516052226523	0.779732235021848	-0.196247606113306	0.358058563743521	-0.234268214522364	0.270535602814852	-0.110824303642647	0.606178969529413	0.355882539360046	0.0878620724260407	0.347188420650309	0.096464642159455	-0.0600970814477772	0.780283625295219	-0.229093347001402	0.28156409147531	-0.0438314208602918	0.838850934173483	-0.0318390599725257	0.882588080339579	-0.0841057568276926	0.695996741775674	0.266121707415433	0.208774523768946	-0.0297028146714037	0.890417928862364	-0.228274965014692	0.283333789222753	-0.258879295056505	0.22189775672647	-0.0947161622209905	0.659767738512979	0.252607473474757	0.233696930816101	-0.0843259752323491	0.695237884219235	0.126801255155291	0.554904829586849	-0.119356113303309	0.57855227834336
5	RPL5	RPL5	red	-0.811141112121018	1.5230127691032e-06	-0.80174080555006	2.47953701722497e-06	0.583528175960818	0.00276006872595078	0.563592446508599	0.00413074347060866	-0.556552169519086	0.00473504933881234	0.497244857180723	0.0134301457126753	-0.55117652753109	0.00524502994535313	-0.305780637817715	0.146191650028871	-0.346316326440134	0.097360909751263	-0.376826712777307	0.0695091090617232	-0.609778249292171	0.00155865053778109	-0.326707974216869	0.119184265565944	0.415762856181657	0.0433201249058073	0.317503990936756	0.130573945937167	-0.268273493099348	0.204978491585076	0.269894731566091	0.202149423883105	-0.415405628777102	0.0435186151763936	0.326922694155034	0.118927499695519	-0.0475988668546951	0.825199624826905	0.243027003113012	0.252505450930454	0.21075483060225	0.322894335294522	0.235407518964838	0.268145085852778	-0.256030648238018	0.227206720766197	-0.363700494510473	0.0806295261144615	-0.0170415605053884	0.937004866427456	0.185679984504791	0.385026454396288	0.191370241511361	0.370364894084654	-0.287533728870373	0.173071498709585	0.141397081254361	0.509866127333228	-0.0338951667466518	0.875062012908382	-0.0644784605959464	0.764690258253793	0.164130944524035	0.443456646700758	0.176754847971129	0.408675062853491	0.167518111663862	0.433973368227202	-0.118218494193948	0.582203996140694	-0.0634896302143692	0.768202004092959	-0.231777636871767	0.275808550234856	-0.181686309236768	0.395510544189577
6	NIPBL	NIPBL	red	-0.810926326643184	1.54052465830847e-06	-0.745544930863774	2.90261588099712e-05	0.891130975936388	5.26208212179579e-09	0.723121863259601	6.54579640918462e-05	-0.271712210712426	0.199009509781424	0.67712490802965	0.00027884004244701	-0.74952795034856	2.49055309317123e-05	-0.450081178256903	0.0273228406236089	-0.324705201373126	0.121598696476507	-0.312170005506887	0.137523215529679	-0.307619732479312	0.143657726180148	-0.29085292033362	0.167943493090149	0.326919515637671	0.118931297680725	0.0798093298490821	0.710857785650632	-0.278446530593681	0.187664709256274	0.351572649386918	0.0920516010154106	-0.21690987157505	0.308632163256296	0.406815445442315	0.0485103792658367	0.0520541951462874	0.809119285780314	0.00357737689148924	0.986763776139573	0.241653098790922	0.255280832371651	-0.0126227431075936	0.953318902800003	-0.426110790015402	0.037872412322686	-0.232008784958371	0.275316448505661	-0.136147153318351	0.525858531875812	-0.0473956487898974	0.82593476731411	-0.0355489593901108	0.869016141418749	0.0464575170675074	0.829330295072629	0.0835601931959501	0.697877935037539	-0.361776205635796	0.0823665007764388	0.18675256580655	0.382237914995211	0.309515282869756	0.141078949588837	0.100360293108274	0.640788006094362	-0.0828218223765338	0.700426709380602	-0.126504012436348	0.5558404499092	0.132777418087611	0.536247478197865	-0.0240675489197374	0.911118422913918	0.125843707360156	0.557921426539468
7	SYT12	SYT12	red	0.808491296885496	1.75197250859319e-06	0.582496714608019	0.00282001330869769	-0.535632201031308	0.0069856971369345	-0.333458609262197	0.111303266685698	0.602939503816973	0.00181739919203678	-0.655614020760113	0.00050544105356974	0.358270804718571	0.085602948468694	0.386473092436802	0.0621132562215798	0.48337725755051	0.0167146565728665	0.453164384881717	0.0261571911545385	0.358857538538661	0.0850546803321779	0.378129890075171	0.0684724988875564	-0.383595409516707	0.0642531035619437	-0.205457203459374	0.335484118731588	0.256054395472438	0.227162118643328	-0.147172356300108	0.492551352294674	0.334904492889767	0.109666224372142	-0.188109074346621	0.378727755460655	0.0553689587822009	0.797203587347128	-0.355705013180313	0.0880317661901496	-0.371179396791577	0.0741402180746116	-0.0275624405552502	0.898272890399485	-0.010460349300797	0.961309375693161	0.149183801671304	0.486590533572793	-0.063983545229267	0.766447349758774	-0.0932637371910839	0.664685579539783	-0.259925410971261	0.219969050195048	-0.0161507129711729	0.940292055460097	-0.216218119002848	0.31021542804666	0.00643233567183151	0.976202751878406	-0.0292372857054257	0.8921255485281	-0.0334323595244749	0.876755155581702	-0.0657316023424228	0.760246297744139	0.0916380840281244	0.670205916333797	-0.159932900247726	0.455361304308196	0.0331565633458134	0.877764383447816	0.11980700508969	0.577107707411329	-0.135794473455239	0.526941347285774
8	TBC1D7	TBC1D7	red	0.801946486711927	2.45391195975216e-06	0.857266230199948	8.78560706488084e-08	-0.597500153509601	0.00204856672463373	-0.582228545500136	0.00283577782696416	0.510256639964605	0.010849477176594	-0.56865228182535	0.00373774940008713	0.526956239198403	0.00815077719551608	0.271460472501729	0.199442428569946	0.307485687889412	0.143841348926859	0.203978080960458	0.339050995347862	0.64401626657141	0.00068365495262613	0.48609981975352	0.0160228446439594	-0.199727532023563	0.349426376895704	-0.358429341887171	0.0854545437730468	0.37191747914351	0.0735219842201558	-0.296994733519573	0.158736290686781	0.453800461259731	0.02592175830532	-0.294891943577804	0.161847658509121	-0.0302363248996292	0.888461526838967	-0.218294205877977	0.305478686721765	-0.180725719780288	0.398055958895855	-0.135037856025158	0.529267916505446	0.211978422705662	0.320027768470768	0.449726670630485	0.0274594943373549	-0.0874587976200569	0.684473436572947	-0.230651542478236	0.278213918613912	-0.215034385305076	0.312936268529172	0.270131117885424	0.20173915044989	-0.275329900323791	0.192858545840723	0.0743494224880191	0.7298910873581	0.102487819819044	0.633689204111106	-0.282767928708574	0.180623190445547	-0.211116022224817	0.32204654020649	0.0197800341268	0.926906491916951	0.24663309924783	0.245314213863955	0.211990691301726	0.319999104856719	0.133829050124297	0.532994999156787	-0.0314522889536283	0.884004918965808
9	SBNO1	SBNO1	red	-0.800782732127979	2.60206302095656e-06	-0.690940399495418	0.00018542149788553	0.846997902483457	1.79405346878246e-07	0.656161925420663	0.00049812573298831	-0.39518870546767	0.0559655843104855	0.717005562554953	8.06375779452666e-05	-0.615131337806238	0.00137872855847411	-0.400852253950945	0.0522305723419517	-0.352816431429581	0.0908275457555941	-0.277107346062098	0.189884554445086	-0.326705962882496	0.119186672662473	-0.372567656537977	0.0729806348459072	0.24824938794378	0.242134835860604	0.102030243409594	0.63521335724456	-0.254155519462229	0.230746928975332	0.583338949253153	0.00277098417859479	-0.29907207315633	0.155704146243769	0.29044562680397	0.168566966703506	0.101398371643113	0.637320439472304	0.130652937964633	0.5428462478683	0.300025324850462	0.154326521772276	0.0496283562419074	0.817865850682566	-0.318184948085981	0.129705358516325	-0.245887429361331	0.246790145237535	-0.0666329973385163	0.75705425643964	0.028406325663371	0.895174767818149	0.0468224995147605	0.828008900834169	-0.106534155816041	0.620274592753756	0.236833466285435	0.265172200786212	-0.298742083147922	0.156183057909025	-0.00191910383698347	0.992899137964357	0.0330225508024416	0.878254845712046	0.0607202244363566	0.778060682796816	-0.148566260239968	0.488416720254338	-0.135029171410113	0.529294649534013	0.165684319143328	0.439093962831597	0.0562925198358074	0.793891324148899	0.138636486855717	0.518245874996219
10	SMAD4	SMAD4	red	-0.795748681747864	3.33868557404322e-06	-0.826233316935692	6.56710644565026e-07	0.867589649600592	4.04527615471956e-08	0.820033722044539	9.36484946171817e-07	-0.299063572100769	0.155716470735487	0.643992220568838	0.00068407445882167	-0.783494083368468	5.9586142487004e-06	-0.460625731077734	0.0235010520211659	-0.377977794810238	0.068592870312074	-0.221077343903488	0.299199155135021	-0.32074118950611	0.12648197538948	-0.382090556706395	0.0653944024110547	0.288019003281405	0.172315060086909	0.126255359840075	0.55662367438195	-0.285124781822021	0.17686069399541	0.409015689219727	0.0471912215588564	-0.197277266642367	0.355491530566353	0.307361499930041	0.144011618690549	0.159711503560408	0.455993738339477	0.0743575718754207	0.729862559671064	0.157139501824426	0.46337438874756	0.0398665200312536	0.85326651406096	-0.490429013822584	0.0149710682781887	-0.298422555870534	0.15664777414572	-0.106229594004158	0.621280281444419	-0.0082884940231395	0.969338449251294	0.0756309518255749	0.725409268015529	-0.0547599936445372	0.799389445641337	0.134467261590259	0.531025679542126	-0.434851924058499	0.0337057126304831	0.00980286238669547	0.963739671100625	0.176893103435753	0.408302720498754	0.0773428610188514	0.719435947853089	0.0918566346733695	0.669462797609422	-0.229850739279394	0.279932507651219	0.0573401070236126	0.79013843594745	0.0222817339354485	0.917690765388046	0.272505969935791	0.197648650113886
