Sample	Group	1-Methyl Adenosine	3-Hydroxy-2-methyl-4-pyrone	3-Methylhistidine	4-Hydroxyproline	7-Methylguanine	Adipic acid	Allantoin	Allopurinol	Arginine	Carnitine	Citric acid	Citrulline	Cortisone	Cotinine	Dodecanedioic acid	Galactonic acid	Glutamic acid	Glutathione disulfide	Hexadecanedioic acid	Hexanoyl Glycine	Histidine	Hypoxanthine	Inosine	Isoleucine	Lactic acid	Leucine	Linoleic acid	Methionine	Myristoylcarnitine	N8-Acetylspermidine	N-Acetyl-glycine	N-Acetyl-ornithine	Nicotine amide	Nicotinic acid	Pantothenic acid	Phenylalanine	Pipecolinic acid	Pyroglutamic acid	Sebacic acid	Succinic acid	Tetradecanedioic acid	Thiamine	Threonine	Trimethylamine N-Oxide	Tryptophan	Tyrosine	Uric acid	Uridine	Urocanic acid	Valine	Xanthine	_-aminobutyric acid	12(S)-HETE	2-Aminoadipic acid	2'-Deoxyuridine	2-Ethylhexyl sulfate	2-Ethylhydracrylic/2-(hydroxymethyl)butanoi acid	2-Hydroxybutyric acid	2-Hydroxyisocaproic acid	2-Hydroxyoctanoic acid	2-Hydroxyphenylacetic acid	2-Oxoglutaric acid	3-Chloro-Tyrosine	3-Hydroxybutyric acid	3-Methyl-2-oxovaleric acid	3-Methyladipic/pimelic acid	3-Methylglutaconic acid	3-Phenyllactic acid	3-Ureidopropionic acid	4-Hydroxybenzaldehyde	4-Methyl-2-oxovaleric acid	5-Hydroxyindole-3-acetic acid	5-Hydroxytryptophan	5-Methylcytosine	8-Aminooctanoic acid	Acetylcholine	Alanine	alpha-Linolenic acid	AMP	Anthranilic acid	Arachidonic acid	Asparagine	Carnosine	cis-Aconitic acid	Creatine	Creatinine	Cystine	Cytidine	Deoxyinosine	Diaminopimelic acid	Docosahexanoic acid	Docosapentaenoic acid	Dulcitol/Mannitol/Sorbitol	Eicosapentaenoic acid	Epinephrine	Ethyl vanillin	Fumaric acid	Glutamine	Glutaric acid	Glyceric acid	Glycine	Glycolic acid	GMP	Guanosine	Hexose	Hexose dimer	Hippuric acid	Homoarginine	IMP	Indole-3-acetic acid	Indole-3-lactic acid	Isethionic acid	Isocitric acid	Kynurenic acid	Lysine	Methionine sulfoxide	N-Acetyl-alanine	N-Acetyl-aspartic acid	N-Acetyl-glutamine	N-Acetyl-methionine	N-Acetylneuraminic acid	N-Acetyl-phenylalanine	N-Acetyl-tryptophan	N-Formylmethionine	N-Iso valerylglycine	Palmitoleic acid	Pentose	Proline	Pyruvic acid	Quinic acid	Rhamnose	Ribulose-5-phosphate	Serine	Sphingosine 1-phosphate	Suberic acid	Sugar alcohol	Taurine	Tauro-a-Muricholic acid	Tauro-b-Muricholic acid	Threonic acid	Thymidine	Traumatic acid	Tryptamine	UMP	Uracil	Urea	Vanillin	_-Gluconolactone	(R)-3-Hydroxy myristic acid	"1,2-dihydroxyheptadec-16-yn-4-yl acetate"	"1,3-Diaminopropane"	1H-indene-3-carboxamide	1-Linoleoyl glycerol	1-Methyladenine	2-(acetylamino)-3-[4-(acetylamino)phenyl]acrylic acid	"2,3-dihydroxypropyl 12-methyltridecanoate"	"2,4-dihydroxyheptadec-16-en-1-yl acetate"	"2,4-Dimethylbenzaldehyde"	2-[(1S)-1-Hydroxyethyl]-4(1H)-quinazolinone	2-Anisidine	2-Fluoro-6-(4-methoxyphenoxy)benzonitrile	"3-(2,7-dimethylpyrazolo[1,5-a]pyrimidin-6-yl)-5-(trifluoromethyl)-4,5-dihydro-1H-pyrazol-5-ol"	3-(4-benzylpiperazino)pyrazine-2-carbonitrile	"3-(tert-Butyl)-1-(2,4-dichlorobenzyl)-N-isopropyl-1H-pyrazole-5-carboxamide"	"3-(tert-butyl)-1-methyl-4,5-dihydro-1H-pyrazol-5-one"	"3-[2-morpholino-5-(trifluoromethyl)phenyl]-4-phenyl-2,3-dihydro-1,3-thiazol-2-imine hydrochloride"	"3-benzyl-4-hydroxy-5-(4-hydroxyphenyl)-2,5-dihydrofuran-2-one"	3-Hydroxy-2-methylpyridine	3-Hydroxydecanoic acid	3-Methoxybenzaldehyde	"4,4'-Bipyridine"	4-Ethynylaniline	4-Indolecarbaldehyde	4'-Methoxyacetophenone	4-Piperidone	"5-acetyl-2,6-dimethyl-1,2,3,4-tetrahydropyridin-4-one"	5-Nitro-o-toluidine	"6-(4-methoxyphenyl)pyrimidine-2,4-diamine"	"6-Methyl[1,2,4]triazolo[4,3-b]pyridazin-8-ol"	6-Methyl-2-pyridinemethanol	6-Methylquinoline	8-Hydroxyquinoline	"9-Oxo-10(E),12(E)-octadecadienoic acid"	9-Oxo-ODE	Acetophenone	Acetyl-_-methylcholine	Acetyl-_-methylcholine	Buprenorphine	Butorphanol	Cetrimonium	Corticosterone	Crotonic acid	Crotonic acid	D-Alanine methyl ester	Diethyleneglycol diacetate	"Dimethyl 2,6-dimethyl-4-(2-thienyl)pyridine-3,5-dicarboxylate"	"Dimethyl cyclohexane-1,4-dicarboxylate"	DL-4-Hydroxyphenyllactic acid	DL-Metanephrine	DL-Stachydrine	DL-Stachydrine	Ethyl palmitoleate	Ethyl palmitoleate	GNH	Hexanoylcarnitine	Hypoglycin A	"Indan-1-one 1-(4,5-dihydro-1H-imidazol-2-yl)hydrazone"	L-Ascorbic acid 2-sulfate	Linoleoyl Ethanolamide	L-Tyrosine methyl ester	mesityl (4-methylphenyl) sulfone	Methyprylon	Mevalonolactone	Monoolein	Monoolein	Monoolein	"N-(2-Methoxyethyl)-3-{5-[(2S)-1-methyl-2-pyrrolidinyl]-1,2,4-oxadiazol-3-yl}-2-pyridinamine"	"N,N-Diethylethanolamine"	"N,N-Diethylethanolamine"	"N,N-dimethyl-N'-[2-(5-oxo-4,5-dihydro-1H-pyrazol-4-yl)phenyl]iminoformamide"	"N1-(1,3,5-Trimethyl-1H-pyrazol-4-yl)-2-cyano-3-(dimethylamino)acrylamide"	"N6,N6,N6-Trimethyl-L-lysine"	N-Acetylputrescine	N-Acetyltyramine	N-Benzylformamide	Nicotinuric acid	Nicotinuric acid	N-Methyloctan-1-amine	Nor-9-carboxy-_9-THC	Noroxycodone-d3	NP-005614	Oleoyl ethanolamide	PEG n12	PEG n6	PEG n7	PEG n8	Perfluoro-1-octanesulfonic acid (PFOS)	Perillartine	Phloroglucinol	Putrescine	Pyridoxamine 5-phosphate	Pyroquilon	Quinoline	Quinoline	Thromboxane B2	Tranexamic acid	"trans,trans-2,4-Heptadienal"	Tris(2-butoxyethyl) phosphate	Vindoline	_-Hydroxynorfentanyl
a_SUMJUV20_1	Stage1	8220852	1711823	118948836	3027213	6101954	5222293	32228365	122541	8378086	697038929	113478790	3036641	322674	27550179	6929712	51111327	24184414	20192068	1779757	1448568	8331802	20816377	10497402	8773543	1268728063	15297915	13142129	5628140	4425021	19270630	203142	763038	458215503	20418296	7718069	35319534	14969024	23082473	5254773	180492160	3379065	9963920	4607931	3615441	18253195	12132652	25680875	15415271	249397	8554168	10623800	2346170	7332549	265679	589699	2430884	4992676	4411578	2814610	1017508	362017	1847686	15445	17378031	4617173	3739452	134994	124781	8909821	10398722	6035984	144125	223558	337842	13638732	974586	17907680	10379974	2415723	1191203	94875058	1497115	339169	4965012	7667993	309342	119243	1677820	864237	121514	159670790	541694	4964214	8331164	12105369	3138912	1068330	53342736	5049153	791968	185550	751625	470309	288451	513860467	3050308	257416	72775	750280	1127213	190219	13627103	39912528	1130808	707364	1240091	12111534	228041	633549	529360	256743	458428	81078	230571	381153	514752	3632831	405617	11409905	250487	2242615	675149	1698747	1719699	4147001	621316	86405434	17534	17534	13893360	956947	7246202	31040	280544	1996160	42304293	1838267	367049	729394	1374963	1921378	2322384	59776586	4231108	1903077	241890212	6539796	545440	265964	1349685	559000	2515733	1128181	41556	1173695	443579	393795	1010691	4636096	5404239	1980313	11144739	2344450	538771	5441627	369478	26363048	129013279	4612905	1061477	2277713	82426056	2323849	3955554	2057136	51213984	11933393	2548761	229213	2978198	1562022	4681961	1241241	5611925	2206692	1066175	5121135	617316	11764605	100432934	542298	4715002	9000765	630549	9793301	17706679	59389004	4882178	577851	21134194	32933192	2081874	38198031	109293990	1796596	156899266	4875212	900289	233702	3831417	19836158	184247467	9008992	10015157	22317858	342738	962022	10761479	3107400	145012996	263031	1811374	349047093	2017761322	1730027858	1263996369	1047085	3068543	22637478	19135508	3080683	983159	1548078	592104	481004	1785963	1737874	5162514	355140	714740
a_SUMJUV20_2	Stage1	5525759	813263	126305596	3578912	5174772	3379162	16023569	127559	853936	800007895	108004634	746746	510803	63773960	10702576	47215145	22705852	30982419	3392462	961521	12593223	19164502	11327025	4049702	1309032906	7214930	9295279	4932249	11403886	8610023	186512	627475	408436559	1774547	5892683	23113565	24828707	18458847	6748913	147438541	7354608	13354345	3701584	1041538	15036465	5727788	11495444	13292919	333258	3867809	7714188	2815328	22727766	170178	801107	317434	4521654	2519699	2097246	926827	212377	1682637	10654	7319259	4122813	1939487	140124	141251	9241946	23611256	3958958	430434	73136	746533	11429496	871975	24787666	11307556	2879355	484994	141810482	1444378	139092	4344712	6679549	338036	29889	181480	3007556	221087	123536595	291888	1319127	13144758	5496332	2179353	972648	52620839	1906193	804027	278083	691299	511700	430611	265736178	2702987	62985	85183	940547	1529726	136847	1752763	47927765	1594801	449402	854049	16438158	237722	333233	328069	115127	392033	69616	260075	241377	235898	1406600	244222	7991414	110141	2957925	569269	2041794	1311601	5623787	425385	51828701	14573	14573	14793261	792901	12758798	24116	304107	2083393	27555858	1119985	255977	1061413	1142698	1726489	1948671	57551667	6762711	1233262	215971393	3526516	1665708	471452	1113411	827836	1506584	1275474	45967	722553	832155	388646	524894	6258185	3122701	2111008	10734786	2974031	593364	9645703	1035426	31397414	140035610	5229401	751361	2335100	28919706	2692438	4833117	2307053	32670767	14825215	4140275	158251	2103667	1239925	3018770	756974	4470910	2510872	1786242	3260513	469718	6722222	43146244	241541	6125491	12474937	500833	17406797	10046950	64612397	5950492	3185413	9407938	26846992	1833790	96021582	131605021	1720447	160358008	849686	228052	206110	3439424	13282537	108634359	6372533	5739865	12770296	32671	628308	4923221	2757748	73326256	135570	14817196	194661607	923147600	850862639	630693349	168854	1831994	11351797	17353340	4244103	978515	1689243	651335	411491	474491	1462445	2434782	1239055	2197267
a_SUMJUV20_3	Stage1	5374067	360997	82629473	3161369	3456815	4707220	14422209	93149	12410172	1007246426	24453161	1042857	2382936	92619815	3382776	30918494	16228581	17299821	889436	471708	16761760	15612255	8840602	7562201	1033388850	13541434	8195486	7041015	5146093	6406899	111503	369854	258749943	10815528	7247457	33737576	15966308	17955046	2039065	73623897	2104612	5679564	8695322	425404	26310531	13932814	23658190	8725393	207773	7457974	5119192	2491975	1583554	184155	326648	522182	401240	1479320	1601522	529474	257144	1186338	61525	5861156	2397354	859955	247061	147477	7559244	3874170	4039468	134925	93476		7109844	777328	28452180	3384997	4362408	702408	156923592	2294034	109365	5916996	2367012	126392	54297	649308	1456119	62479	218146697	227977	2100550	7915828	14645143	4057540	369589	52810371	2101856	708831	441242	623321	744426	212984	331808176	719233	41770	84612	1730538	1435095	163586	2846385	53434596	1794412	862334	2606624	10338847	224076	218274	839449	108625	276211	69101	152084	463880	82052	2041080	698340	7435780	150656	1801455	238276	3089227	1648463	1755463	340895	41000387	19881	19881	15196520	642961	3701316	42719	306520	2518701	23168478	2529727	235719	493835	732034	2547626	3127098	26143963	3518549	2300152	171432793	3442278	2866992	820597	1464707	937172	1591271	3183915	42479	1121900	2147767	409042	1316053	2398594	5291291	3094477	18773684	5417757	1229688	5074129	1672674	18599499	39955184	821755	1180609	4209179	39496301	1096332	1801469	3659380	31750872	5289039	2894300	174185	3097005	4269044	4782566	629206	2743829	827256	991470	6098749	556956	14806058	57509831	661907	4604628	2253338	866642	7347142	12211523	18654607	2798914	1122756	12974970	13495485	1382552	32957158	29702113	898438	38365028	810665	177238	63518	2160811	5160099	85243373	2832692	12701488	30416607	151482	1147845	3518641	6673535	37102076	268346	3972292	197240103	393696581	322866827	301863377	642689	3889460	15260143	30098979	5468730	1817550	2599473	550421	1430728	922495	2110526	747246	963224	555630
a_SUMJUV20_4	Stage1	5114530	454903	89395191	2548759	4972254	6163986	18520366	74136	13586862	961230047	49948574	1426276	1195780	81264093	5860675	39372581	21918002	20252487	812985	1244685	16671137	11548129	5686635	6267950	1326578860	11531989	9913784	9120754	4264259	8503129	249875	416659	163583011	12515179	6450599	31201698	23948144	20584418	3414353	100158502	2516117	7553280	9182433	1118377	24989294	16292701	18430376	7841152	450496	8623288	8332807	2903848	635393	169562	276597	202972	977013	2256953	2350610	780092	188011	3076510	162690	9671000	3101906	977319	253135	284667	7794396	3611656	7260072	180985	155269	528074	9831340	1268584	28306400	1744452	1277600	737453	64475231	2007055	87731	5748045	2043932	112648	6951	1331322	1075443	97465	119419908	230078	1696181	2539881	11263570	2706983	517432	67975345	2484322	803136	397699	939107	550627	248424	289802986	1298556	46201	112820	579845	1182334	199819	1882563	48616402	1775264	836965	3263032	10644249	150941	257432	1530472	88515	295483	55698	256611	485819	82021	1494278	884066	13267952	103286	764354	196127	2919739	1865767	2299231	252408	34891373	11784	11784	10707056	617069	4942571	41292	189911	1670026	29606441	2038468	384695	492601	1655094	3413181	2961888	22043464	9504193	2229058	231624485	2656369	2155976	815051	1346152	694806	1441956	3265087	46029	1028406	855120	391357	1067239	3481135	4599197	2603225	15799151	7377656	3178653	21085375	6067906	17029295	52882899	6204541	1057857	3383949	67493076	967798	3392627	5292625	26504030	7659965	2459823	175302	4108036	2366307	6471911	813392	3332403	1377467	1214696	4738088	1434226	15725515	87402118	858309	3870981	5435502	729087	9086588	9577120	16581061	2541636	1325941	10689644	15803976	1464914	56710541	24554873	841760	45256968	481713	115016	135372	2127986	4993623	126550562	4610868	13436841	33232160	118144	1026240	5840329	8590261	70341024	1416197	1781066	257789875	841256447	650138103	550531920	359378	3168413	10024805	40317413	4457811	1449012	2015949	644897	1230839	1002731	2647607	22768731	651831	2234833
SUMJUV20_5	Stage1	6376723	1044458	58066905	2307953	4375476	1642255	13388439	60228	11647907	857056858	25445030	1018052	578639	72274458	2664535	14143764	21270303	25030398	444339	645197	13629176	15183928	4945858	3643701	1068848164	6849340	6807137	6188659	3032537	5305215	124302	412893	319838120	3566324	8876135	23000187	15218043	19456235	1811814	24472782	1310889	6586018	6074184	608676	17248101	8427151	9479488	7710618	269289	4936309	5425177	2956317	1842067	100014	361692	649036	597299	1775076	1591000	334347	190570	989062	59457	3771092	2554734	577495	116403	67901	8930804	2965669	3037072	118770	104649	758774	6517893	843779	25424949	3101966	6148333	522441	110400702	1972013	92339	4282424	3657714	201882	46567	825775	1695875	72770	145202025	161055	1607459	6308948	17657240	3720848	306001	60275458	715551	499072	304298	574788	854199	128055	255195845	975710	40407	95287	3020262	727566	98263	1439327	37115866	1845891	858792	2599201	16292979	155389	287726	630261	94310	291475	63784	189600	551372	127511	1396353	648173	7992271	198185	1641768	149633	2411320	1422300	1462587	319678	43579321	1188727	1188727	19072780	838670	2356300	27284	331784	1340299	34246881	2416805	131939	332254	1293758	1561059	2215387	18854881	5550164	2258289	298326988	2754502	667654	634037	1423511	970946	1821953	1598631	36228	1211279	1459289	437732	1085213	2940373	5383444	2219662	12154378	2355852	1077483	8100811	1903293	16368888	45346247	5121505	1217993	2844294	92605037	1058482	2257169	950725	20495787	6786988	1993827	195995	3762937	3878631	7136562	184620	3092505	1402218	713702	5764355	265846	35717325	68442334	395304	5106852	5339346	1169312	10590412	4747089	17227163	6046321	2075491	9132811	14815339	1308355	48898841	21719612	1561793	29635368	517020	248325	216927	3005100	12651263	170615989	5510065	30340430	18311498	40253	1217044	4387138	10700666	52883495	1475949	4721134	235649182	546803782	470745728	470853189	323966	3567825	10901107	20495645	3981732	1039289	1880189	727200	1017972	688702	2442269	2152888	949149	9991927
FALLJUV20_1	Stage2	7229122	327828	152061416	5923208	4868750	8089923	19069403	186262	4447568	1402482088	164072874	1406159	122295	90223481	15393743	28109191	33555142	19574870	2242568	3586336	20044490	20168916	17757203	10543932	1619349483	19911914	2521912	10106100	3541731	6697502	186143	619130	308131570	7602187	12325949	42147411	31832999	24337161	8389902	162657617	5968634	14615617	10271170	1757250	24168438	22662807	31331991	12324201	300114	13771809	7147294	3756298	2743874	239887	431926	79905	1712054	3724106	3117069	1125290	428535	1276654	173095	12000474	9286951	2663826	121764	245231	8983616	10024446	3850237	278208	101275	1461895	11662732	1911573	51340651	828555	6802011	733585	32614969	2216344	298552	6386557	7170996	338243	286832	1151427	1317230	148060	38560837	73345	1754975	1338593	6649559	4193099	1107464	77612481	6939690	1289903	497035	1295053	1304255	434624	394232708	1953528	45512	150508	2571455	593116	127614	3493985	45189795	541350	637429	3470847	11697182	312613	644417	1122478	160828	334914	59755	371428	884817	21806	2122457	1142238	7223777	293374	3279985	596578	2469608	611981	4984163	487802	73622255	17900	17900	14175929	661612	5386591	48130	693006	2295789	52301860	2454641	504133	495108	1740604	2407564	2996661	17332807	12879888	1979577	154598172	4317115	2044135	865738	2574576	889631	1078984	1143210	47040	2181288	516894	313856	2148984	3396296	8108015	2550749	15766989	3261349	259681	7467801	393952	46320024	345019421	5511092	2119589	3599147	6219363	3382009	6063806	4163919	86759743	2508264	498142	2499321484	1793791	5879720	12987879	2570305	3371881	5844924	1215650	4744549	1125593	6270062	108355549	1230612	4039882	20638829	1210546	9861310	17538148	210633495	9218782	1187639	34860859	86623698	10051117	118833646	28336824	1152925	31878765	5589080	3326417	1015760	11898109	15358828	199427767	11902067	5357232	54421426	131930	1126850	15830531	3956861	102394386	557991	1557466	513765080	1202240795	1215473886	1096990004	7047156	4207807	14647432	24996304	4368189	1414598	2144065	1047018	2571347	2721880	5384345	5445866	368702	6589994
FALLJUV20_2	Stage2	2860483	445813	87925789	2667953	2460090	1461566	13541267	143025	8525622	1189692071	130374156	1198012	204790	103520472	5428219	21243241	28803205	7042536	472420	3890778	19878608	14094826	12653584	10128484	1353128266	17939787	4478755	8597283	1570270	4362674	127557	355611	180170481	9657908	8264963	34492545	25017956	27547843	2018699	166914698	1613595	6243540	9849029	527945	26148851	22425130	22925905	8544880	140494	10979386	4844122	3209803	3198673	151214	180928	61419	1507432	2614468	2212107	548344	148882	3433482	102744	12273954	2184549	575155	64072	101232	6970792	10871763	6668706	144055	73520	553683	14307773	1082422	38320787	579064	7038265	491838	25062594	2495925	134892	5842170	5035219	234138	282847	738706	806296	82791	18373664	108893	1238618	982002	3362157	2242690	1146622	86556903	4314484	1021510	351523	605883	986271	293067	356989555	685389	76057	44027	2465552	675486	193632	2520717	50420167	238578	717494	1405480	10260878	301597	530157	814609	90895	235458	79667	211440	523744	82998	1764820	811775	9522496	3385	2640151	523245	2483043	1566454	1179396	696495	65626702	42045	42045	11135629	361058	1310830	47371	589022	2240654	37426195	1587840	265244	628563	740144	1345024	2988981	11619775	5285445	821126	126620699	2638756	3016374	1046676	918671	555877	740433	768728	40450	729638	734434	323488	695629	3032119	3918380	2272163	14433580	4101350	255342	4404271	553497	19374291	169004518	4108121	745118	2932144	6630937	683087	999048	4734530	52539175		1305494	816468574	1391224	10420091	3343439	1246434	2170867	1842055	1124350	3083666	1204550	2735062	73206159	823947	1534638	1769077	395507	10872962	4460452	59027148	8820900	2561218	9712470	21419947	1024936	41414730	15029408	842394	34978018	749689	495977	319991	3160794	17823355	119738810	4449761	2348414	45070732	116923	470637	3179462	4268185	126697117	569798	1693204	160117966	1666208137	1663425000	1058204878	510827	2487096	12095509	31588071	4300588	1408769	1941148	1241542	1716595	264458	1601254	1367574	335588	3285035
FALLJUV20_3	Stage2	9256409	723122	140830172	3617112	5482797	2769917	19767754	152093	3237874	1038381145	71190470	652808	304115	153209729	4492266	27114633	17479931	6664268	789564	2971952	4749939	8267615	14176641	7712780	797775086	13327911	2495569	7073745	4102084	12230881	285590	370472	236000166	1800751	6086009	30313719	16134499	17421150	3543204	76867416	2471262	7799903	7467838	782202	18938838	11163691	31241174	13564208	119767	7068951	10067849	1639217	1833605	165836	678338	147786	2788920	3528547	1324635	687806	162882	1321354	13770	14028820	2822384	1885591	57740	91941	10061525	9202739	2356596	305261	117804	594328	11353755	1166086	18239456	1812832	2843544	1713431	42283878	1772091	22712	4610546	3464170	196976	377963	18363	2000372	106846	70242991	216965	1208919	6347981	6933404	2462630	435962	52323715	4157081	472305	275867	482007	874181	491983	255639601	759302	150370	50444	550511	356043	141171	5756257	48159842	497540	498921	1532085	8873172	118222	1244123	771345	182612	312101	19208	311828	448851	89406	1272263	437546	6590879	10092	1773007	488310	1983924	1080750	2427607	288370	61430565	40797	40797	8208929	555733	11310003	28729	411463	1206622	57729719	1762017	307231	236174	1158748	854257	2247236	15916290	5135594	443702	181608242	2782281	605470	1715466	1259145	598603	880042	815195	41712	886577	1014735	303593	974722	1876698	4884556	2190621	12903547	2885894	515974	4838124	1074649	49968209	247743711	2396581	1195068	2650259	6040694	1789091	2794799	1451367	24086390	1046851	1961469	240690792	3409107	6223297	6559001	1432650	1184901	962308	2056813	4345066	605628	4595712	57216389	911434	1968539	7334467	488705	10171083	17912975	13802332	2887710	868122	9101470	12177024	7692818	34862014	18373388	1469635	38088958	11528262	188253	197897	2097326	16616012	143210280	2264328	3939794	29676121	24257	1223900	4521743	3447447	285391175	1130912	1307920	328613638	4338314164	4159096709	3275073538	3988983	2859175	8549979	14611490	3848350	999346	1761410	306173	420346	1192683	1845915	3789879	346981	816823
FALLJUV20_4	Stage2	3761182	493529	67321847	2355888	2984329	7252072	18046127	143573	17807442	1420456361	136174982	1796749	25554	76617698	6217697	37259039	27498698	16393274	559110	11078560	27433932	17074530	12340760	15192978	1292461230	29636814	13800856	12337818	4141386	10194991	174915	286069	387987351	7883010	10110267	46153106	22688140	27337575	1713530	186471278	1805749	8933381	10333739	372243	37102239	40620105	17355082	6585996	326484	18984079	3720063	3561483	4681277	278412	228660	43256	1388375	3121538	3802083	527452	202084	4233061	118303	17247912	1748446	542688	86248	183351	8311905	4732897	9697958	204030	106458	460128	24399846	1035077	33973290	2288769	3244694	843026	59475031	2558175	136459	8685909	6740529	286368	173984	1009913	881513	139843	52772823	103654	1803295	2618642	15750453	2841371	1040717	87874086	5838238	1537622	295142	498635	695746	384062	352479867	819446	21867	49832	1328233	1432755	571540	1566656	60089966	261173	1253208	1674631	8216993	251571	761562	1161552	172297	727830	64078	243510	989995	204228	1950075	1001828	11505245	13061	2161835	611419	2365674	2043990	1937785	214962	112719162	22941	22941	22999241	651281	2514285	72483	325456	1906353	40118268	1549127	219960	667637	1173097	3868482	3893070	32975419	9321783	1419155	207675049	1709469	572208	722526	1086122	916798	967057	1256481	40984	786680	1093343	338953	847871	3570541	3978578	3311579	20561623	7375982	314126	6411445	533451	48093739	64614637	4525069	882721	4384140	9778620	404087	1292486	1721727	65389902	408162	2786266	1777743916	1684928	1035555	4323496	1511954	2277982	963528	1383140	3099515	2734670	15899140	90283228	745099	2923390	1322470	541526	14394083	3079847	31621768	13537444	5824123	9854936	13200578	8616062	39284022	62020243	1450654	103822781	778949	170522	202296	2244100	26526608	138963029	4667523	13479983	78996307	231601	2018759	2972755	713312	51696541	864596	5321061	143966429	561623101	499774275	390059781	649356	2555429	12575712	31950876	5901064	2021233	2892702	1424331	5881139	837889	1791405	3414153	607443	3041460
WINTERJUV21_1	Stage3	1629970	111445	75843431	2458125	1689196	1037944	10521928	73069	9639179	1050359461	16191506	1529070	66957	4082009	5157898	8062916	23153978	16615727	528542	1988816	9006863	15960543	6987030	4515054	917234679	8290004	492133	7529728	361602		107346	385543	101111416	4408350	4207907	19586641	14226285	10370956	2786149	70226290	1554106	5310537	9173897	1850943	13876143	14302957	5664477	5709169	291042	5938272	4302874	2549286	932925	126588	107462	68104	960173	1321068	2330986		206094	792882	91228	9385923	3677529	721679		167886	5321028	5244125	2368053	14128	88528	286558	11679351	2092365	31141213	378017	7217040	478685	29270337	2691104	19731	988592	2750067	125998	179425	27900	558912	60497	14446568	27690	3527439	3270873	893050	3093116	561205	71461749	3020308	707044	294943	664670	624597	101259	236684282	1441268	53871	67889	4192144	419078	214809	2361334	11862983	328537	889151	2765489	5940268	125571	398782	258675	69249	157972	11754	104755	392695		1370722	787953	2556420	14567	1984101	166154	2492961	209696	1334102	243327	39241630	23407	23407	10916273	123389	1212064	19055	176420	702916	18270578	1750910	90509	165333		2846767	1702214	2882911	5486474	736623	36261494	1332595	412220	54508	1345197	922375	716186	579068	33569	934356		287683	1108602	959208	5062400	1603229	8634375	4286639	343053	7916228	731805	15133090	149211671	1691843	1112084	1846950	4635522	2876322	2470109	1322442	16762696	1671979		159417		3169772	5005682	812312	1670030	3187496	435151	4774138	1211284	4972678	62743486	1015120	709655	2163616	387274	2752817	4128300	55925857	1152809	333037	14999808	33152233	716152	17165739	2544332		4523298	698385	130161	125475	4348505	5674622	134950681	1864165	4282903	27766463	84036	779040	3856932	591836	34402726	150177	233358	206782854	389768665	289575141	279350165	309223	2716821	9215130	18411855	3279565	982542	1324806	821969	1635362	288375	1868398	1664104		1386309
