"",F.stat,p.value,-log10(p),FDR
Butorphanol,349.27,1.693e-17,16.771,4.2326e-15
8-Hydroxyquinoline,23.421,4.0255e-07,6.3952,5.0319e-05
Thymidine,19.511,1.6163e-06,5.7915,0.00013469
Cystine,12.901,3.0496e-05,4.5158,0.001906
"3-(2,7-dimethylpyrazolo[1,5-a]pyrimidin-6-yl)-5-(trifluoromethyl)-4,5-dihydro-1H-pyrazol-5-ol",12.36,4.0573e-05,4.3918,0.0020286
Kynurenic acid,9.4356,0.00022412,3.6495,0.0093383
Glutathione disulfide,9.1901,0.00026253,3.5808,0.0093761
N-Acetyl-ornithine,8.8245,0.00033387,3.4764,0.010434
Acetyl-_-methylcholine.1,8.3421,0.00046279,3.3346,0.012855
Adipic acid,7.5764,0.0007955,3.0994,0.018612
Carnitine,7.5365,0.00081895,3.0867,0.018612
Methyprylon,7.1882,0.0010594,2.9749,0.022071
2-Ethylhexyl sulfate,6.9713,0.0012478,2.9039,0.022506
Rhamnose,6.9582,0.0012603,2.8995,0.022506
Ethyl palmitoleate,6.787,0.0014371,2.8425,0.023952
L-Tyrosine methyl ester,6.5891,0.0016764,2.7756,0.026194
Asparagine,6.2033,0.0022791,2.6422,0.033516
Galactonic acid,6.0531,0.0025751,2.5892,0.034665
_-Gluconolactone,6.0253,0.0026345,2.5793,0.034665
Docosahexanoic acid,5.862,0.0030148,2.5207,0.036952
Arachidonic acid,5.7753,0.0032406,2.4894,0.036952
N-Acetyl-glutamine,5.7712,0.0032518,2.4879,0.036952
Serine,5.6214,0.0036894,2.433,0.040102
Quinoline.1,5.5034,0.0040794,2.3894,0.04214
N-Acetylneuraminic acid,5.4656,0.004214,2.3753,0.04214
Homoarginine,5.3914,0.0044919,2.3476,0.043191
Threonic acid,5.1719,0.00544,2.2644,0.048676
D-Alanine methyl ester,5.1694,0.0054518,2.2635,0.048676
Myristoylcarnitine,5.0623,0.0059936,2.2223,0.050128
Hexanoyl Glycine,5.0583,0.0060154,2.2207,0.050128
Allopurinol,4.7338,0.0080595,2.0937,0.064492
Perfluoro-1-octanesulfonic acid (PFOS),4.6567,0.0086499,2.063,0.064492
4-Indolecarbaldehyde,4.6541,0.0086707,2.0619,0.064492
alpha-Linolenic acid,4.6417,0.0087709,2.057,0.064492
Inosine,4.5378,0.0096561,2.0152,0.068364
5-Hydroxytryptophan,4.5171,0.0098445,2.0068,0.068364
Acetyl-_-methylcholine,4.3872,0.011118,1.954,0.075125
Glycolic acid,4.3244,0.011799,1.9282,0.077101
Cortisone,4.3041,0.012028,1.9198,0.077101
3-Hydroxybutyric acid,4.2379,0.01281,1.8924,0.080064
Docosapentaenoic acid,4.1217,0.014323,1.844,0.08698
Glyceric acid,4.0918,0.014742,1.8314,0.08698
"N,N-Diethylethanolamine.1",4.0766,0.014961,1.8251,0.08698
N8-Acetylspermidine,3.9715,0.016571,1.7806,0.092902
L-Ascorbic acid 2-sulfate,3.9623,0.016722,1.7767,0.092902
Traumatic acid,3.748,0.020665,1.6848,0.11048
N-Acetyl-aspartic acid,3.7429,0.020771,1.6825,0.11048
Quinic acid,3.6345,0.023156,1.6353,0.1206
2'-Deoxyuridine,3.6003,0.023968,1.6204,0.12229
