"","Sample","Group","1-Methyl Adenosine","3-Hydroxy-2-methyl-4-pyrone","3-Methylhistidine","4-Hydroxyproline","7-Methylguanine","Adipic acid","Allantoin","Allopurinol"
"1","a_SUMJUV20_1","Stage1",8220852,1711823,118948836,3027213,6101954,5222293,32228365,122541
"2","a_SUMJUV20_2","Stage1",5525759,813263,126305596,3578912,5174772,3379162,16023569,127559
"3","a_SUMJUV20_3","Stage1",5374067,360997,82629473,3161369,3456815,4707220,14422209,93149
"4","a_SUMJUV20_4","Stage1",5114530,454903,89395191,2548759,4972254,6163986,18520366,74136
"5","SUMJUV20_5","Stage1",6376723,1044458,58066905,2307953,4375476,1642255,13388439,60228
"6","FALLJUV20_1","Stage2",7229122,327828,152061416,5923208,4868750,8089923,19069403,186262
"7","FALLJUV20_2","Stage2",2860483,445813,87925789,2667953,2460090,1461566,13541267,143025
"8","FALLJUV20_3","Stage2",9256409,723122,140830172,3617112,5482797,2769917,19767754,152093
"9","FALLJUV20_4","Stage2",3761182,493529,67321847,2355888,2984329,7252072,18046127,143573
"10","WINTERJUV21_1","Stage3",1629970,111445,75843431,2458125,1689196,1037944,10521928,73069
"11","WINTERJUV21_2","Stage3",3150351,244234,119580632,2220157,4660111,878189,15660738,158270
"12","WINTERJUV21_3","Stage3",2435107,290250,136690281,16580574,2738220,1488943,17053321,178203
"13","WINTERJUV21_4","Stage3",3644245,211637,91101568,2643989,2809552,874817,10636313,109621
"14","WINTERJUV21_5","Stage3",2938978,491139,58370587,1733865,1867018,827029,6281827,67107
"15","SPRINGAD21_1","Stage4",4492832,240659,114833995,2426708,4174876,1141869,14029578,141716
"16","SPRINGAD21_2","Stage4",3988807,211476,138437643,3594413,3268059,1229455,13900453,142502
"17","SPRINGAD21_3","Stage4",5436278,498666,120382607,2436171,4621671,1763304,13086880,149689
"18","SPRINGAD21_4","Stage4",3413229,63985,88835569,2905827,3419722,1742025,13774261,98247
"19","SPRINGAD21_5","Stage4",3665767,207795,104763311,6571368,3965998,702753,15429043,153537
"20","SUMAD21_1","Stage5",6424803,684266,112926890,3196082,3644423,1605263,17045905,209770
"21","SUMAD21_2","Stage5",3536240,181690,176308328,4993209,3042269,1434902,16351161,160045
"22","SUMAD21_3","Stage5",3427241,236483,133676366,2839306,2643305,1201974,12874357,93174
"23","SUMAD21_4","Stage5",4539778,875215,107374178,2171037,3058233,1557584,9415934,110285
"24","SUMAD21_5","Stage5",2680448,92030,86919851,1971406,2557604,1943360,13086307,99336
