target_id	length	eff_length	est_counts	tpm
NM_001280678.1	552	301.164	24005	7294.75
NM_001281925.1	634	373.394	119.697	29.3378
NM_001285876.1	834	563.267	5.70302	0.926623
NM_001286187.1	1110	837.344	77.8752	8.51153
NM_001290408.1	830	559.267	0	0
NM_001291139.1	4671	4398.34	3	0.062423
NM_001291140.1	4671	4398.34	3	0.062423
NM_001291520.1	4282	4009.34	200.179	4.56938
NM_001293736.1	2063	1790.34	3.47521	0.177647
NM_001301748.1	4136	3863.34	989.591	23.4425
XM_004600099.2	4960	4687.34	15	0.292871
XM_004600101.2	2089	1816.34	464.593	23.4092
XM_004600104.2	2631	2358.34	99.9687	3.87944
XM_004600106.2	1814	1541.34	1384	82.1767
XM_004600110.2	5382	5109.34	330.138	5.91347
XM_004600111.2	7707	7434.34	178.491	2.19728
XM_004600112.2	2780	2507.34	172	6.27808
XM_004600113.2	6730	6457.34	201	2.84875
XM_004600116.2	4584	4311.34	2998	63.6402
XM_004600117.2	5632	5359.34	249	4.25207
XM_004600118.2	3291	3018.34	11	0.333531
XM_004600119.2	4040	3767.34	619.466	15.0485
XM_004600122.3	1286	1013.34	109	9.84423
XM_004600124.2	2122	1849.34	11	0.544361
XM_004600126.2	8802	8529.34	0	0
XM_004600127.2	8714	8441.34	2.20755e-06	2.39338e-08
XM_004600128.2	1680	1407.34	0	0
XM_004600129.2	3277	3004.34	127.933	3.89713
XM_004600134.2	3956	3683.34	1535	38.1398
XM_004600135.2	2791	2518.34	128.107	4.65554
XM_004600136.2	2646	2373.34	1397	53.8701
XM_004600137.2	2111	1838.34	241.855	12.0404
XM_004600138.2	5001	4728.34	375.568	7.26928
XM_004600140.2	6744	6471.34	69.6984	0.985691
XM_004600145.3	7206	6933.34	250.187	3.30243
XM_004600146.2	4518	4245.34	35.7627	0.770957
XM_004600147.2	3462	3189.34	49.85	1.43046
XM_004600156.2	2914	2641.34	1	0.0346487
XM_004600157.2	8233	7960.34	91.6357	1.05353
XM_004600158.2	8206	7933.34	216.257	2.49475
XM_004600160.2	7984	7711.34	164.597	1.95345
XM_004600162.2	7895	7622.34	282.51	3.39202
XM_004600163.2	822	551.434	0	0
XM_004600165.2	3870	3597.34	78	1.98438
XM_004600170.2	2808	2535.34	20	0.721947
XM_004600171.2	7949	7676.34	0.00198673	2.36862e-05
XM_004600172.2	1592	1319.34	165	11.4456
XM_004600174.2	915	642.953	1769.32	251.849
XM_004600175.2	5371	5098.34	170.686	3.06395
XM_004600178.3	4251	3978.34	22	0.506096
XM_004600179.2	4101	3828.34	108	2.58181
XM_004600180.2	4123	3850.34	36	0.855688
XM_004600189.2	589	332.803	989	271.97
XM_004600194.3	3168	2895.34	554.32	17.5215
XM_004600197.2	971	698.487	0	0
XM_004600198.2	4479	4206.34	97	2.11047
XM_004600201.2	825	554.379	151	24.9277
XM_004600205.3	803	532.873	908.992	156.116
XM_004600206.3	1632	1359.34	826	55.6113
XM_004600208.2	1445	1172.34	156.464	12.2144
XM_004600210.2	823	552.379	81	13.4202
XM_004600212.2	2583	2310.34	0	0
XM_004600213.2	2449	2176.34	121.306	5.10116
XM_004600214.3	3219	2946.34	6947	215.787
XM_004600215.2	6567	6294.34	0	0
XM_004600216.3	1298	1025.34	1253	111.839
XM_004600219.3	5369	5096.34	559.961	10.0557
XM_004600220.2	2387	2114.34	214.331	9.27729
XM_004600221.3	1614	1341.34	12.4628	0.850329
XM_004600222.3	1614	1341.34	0	0
XM_004600223.2	1916	1643.34	287.537	16.0132
XM_004600224.3	1780	1507.34	0	0
XM_004600225.2	8247	7974.34	777.544	8.92364
XM_004600226.2	3051	2778.34	189.353	6.23733
XM_004600227.3	1474	1201.34	147.885	11.266
XM_004600228.2	1637	1364.34	9.6945	0.6503
XM_004600229.2	4150	3877.34	257.621	6.08078
XM_004600230.3	661	397.831	2533	582.706
XM_004600231.2	942	669.557	0	0
XM_004600232.2	960	687.557	0	0
XM_004600233.2	4351	4078.34	0	0
XM_004600234.3	1767	1494.34	0	0
XM_004600235.2	1156	883.344	8.49517	0.880145
XM_004600236.2	1123	850.344	6.09684	0.656179
XM_004600237.2	1105	832.344	2.5403	0.279315
XM_004600238.2	1069	796.344	878.868	101.003
XM_004600242.2	1830	1557.34	0	0
XM_004600246.2	1381	1108.34	4076	336.567
XM_004600247.3	4263	3990.34	193	4.42649
XM_004600248.2	1556	1283.34	196	13.9774
XM_004600251.2	5557	5284.34	25.0001	0.432975
XM_004600252.2	3280	3007.34	14.1425	0.430384
XM_004600254.2	1413	1140.34	394.659	31.6737
XM_004600255.2	2627	2354.34	353.773	13.752
XM_004600262.2	4525	4252.34	442	9.51275
XM_004600269.2	4253	3980.34	3333.07	76.6367
XM_004600270.2	3210	2937.34	120.548	3.75594
XM_004600271.2	1637	1364.34	29291.9	1964.88
XM_004600273.1	513	267.411	0	0
XM_004600274.2	8108	7835.34	9.50493	0.111021
XM_004600275.2	942	669.557	0	0
XM_004600276.2	1540	1267.34	1147	82.8288
XM_004600282.2	12312	12039.3	81.1045	0.61653
XM_004600285.3	2958	2685.34	1685	57.4265
XM_004600286.2	1233	960.344	0	0
XM_004600287.2	1296	1023.34	0	0
XM_004600288.2	6654	6381.34	147	2.10823
XM_004600291.2	6566	6293.34	21.4516	0.311954
